pair_a,pair_b,scope,metric,value,envelope,zero_case,within
single_baseline_06,dual_baseline_11,8,log_norm_ratio,0.00014248227265119875,0.00011319355897037096,neither_zero,False
single_baseline_06,dual_baseline_11,9,relative_l2,0.10317890006191076,0.11375555232581419,neither_zero,True
single_baseline_06,dual_baseline_11,9,max_abs,0.0059147668071091175,0.005957070272415876,neither_zero,True
single_baseline_06,dual_baseline_11,9,normalized_max_abs,1.97162579597554,1.9857270605934405,neither_zero,True
single_baseline_06,dual_baseline_11,9,cosine_error,0.005323173739535614,0.0064710255121182,neither_zero,True
single_baseline_06,dual_baseline_11,9,log_norm_ratio,4.3580237737244034e-05,0.00018101471761390988,neither_zero,True
single_baseline_06,dual_baseline_11,10,relative_l2,0.1029913902359859,0.11462983090523451,neither_zero,True
single_baseline_06,dual_baseline_11,10,max_abs,0.0058920730371028185,0.00594778242520988,neither_zero,True
single_baseline_06,dual_baseline_11,10,normalized_max_abs,1.9640766129442226,1.9826470570430124,neither_zero,True
single_baseline_06,dual_baseline_11,10,cosine_error,0.005303955635343804,0.006571025593287261,neither_zero,True
single_baseline_06,dual_baseline_11,10,log_norm_ratio,6.495617686025677e-05,0.0001985496010601438,neither_zero,True
single_baseline_06,dual_baseline_11,12,relative_l2,0.09504351885984373,0.1281904108794343,neither_zero,True
single_baseline_06,dual_baseline_11,12,max_abs,0.005850475747138262,0.005939641036093235,neither_zero,True
single_baseline_06,dual_baseline_11,12,normalized_max_abs,1.9502742053833946,1.9799972695114094,neither_zero,True
single_baseline_06,dual_baseline_11,12,cosine_error,0.004517082862277921,0.008216884210253905,neither_zero,True
single_baseline_06,dual_baseline_11,12,log_norm_ratio,0.00010021225840282181,0.0003993144073782176,neither_zero,True
single_baseline_06,dual_baseline_11,13,relative_l2,0.06288260438909117,0.08811547143108552,neither_zero,True
single_baseline_06,dual_baseline_11,13,max_abs,0.005898136645555496,0.005892634857445955,neither_zero,False
single_baseline_06,dual_baseline_11,13,normalized_max_abs,1.966114654961186,1.9642808135823902,neither_zero,False
single_baseline_06,dual_baseline_11,13,cosine_error,0.0019773026614220424,0.003882467918829735,neither_zero,True
single_baseline_06,dual_baseline_11,13,log_norm_ratio,9.945305406997935e-05,0.00017695298734545184,neither_zero,True
single_baseline_06,dual_baseline_11,14,relative_l2,0.08774542139059432,0.09979719351372945,neither_zero,True
single_baseline_06,dual_baseline_11,14,max_abs,0.005786469206213951,0.005890344735234976,neither_zero,True
single_baseline_06,dual_baseline_11,14,normalized_max_abs,1.9289312885205956,1.9635584075632604,neither_zero,True
single_baseline_06,dual_baseline_11,14,cosine_error,0.0038501429155273215,0.004980025156854584,neither_zero,True
single_baseline_06,dual_baseline_11,14,log_norm_ratio,0.00013575521733723143,0.0002657099935791046,neither_zero,True
single_baseline_06,dual_baseline_11,16,relative_l2,0.07657520094644688,0.08436554172823829,neither_zero,True
single_baseline_06,dual_baseline_11,16,max_abs,0.00577507889829576,0.005808895919471979,neither_zero,True
single_baseline_06,dual_baseline_11,16,normalized_max_abs,1.9251550755818827,1.9364281700460415,neither_zero,True
single_baseline_06,dual_baseline_11,16,cosine_error,0.002932644283290209,0.003559225492313911,neither_zero,True
single_baseline_06,dual_baseline_11,16,log_norm_ratio,0.00027312599653765013,0.0002576750825546444,neither_zero,False
single_baseline_06,dual_baseline_11,17,relative_l2,0.0629100754782917,0.07984475971614276,neither_zero,True
single_baseline_06,dual_baseline_11,17,max_abs,0.005727329989895225,0.005828710272908211,neither_zero,True
single_baseline_06,dual_baseline_11,17,normalized_max_abs,1.9092415608986455,1.9430371665975241,neither_zero,True
single_baseline_06,dual_baseline_11,17,cosine_error,0.0019790721121225596,0.003187814275713241,neither_zero,True
single_baseline_06,dual_baseline_11,17,log_norm_ratio,0.00012163533516416878,0.0001790272257123107,neither_zero,True
single_baseline_06,dual_baseline_11,18,relative_l2,0.04071039154277749,0.05675008870631503,neither_zero,True
single_baseline_06,dual_baseline_11,18,max_abs,0.0052749174647033215,0.005600189324468374,neither_zero,True
single_baseline_06,dual_baseline_11,18,normalized_max_abs,1.7584290405486682,1.8668605919637218,neither_zero,True
single_baseline_06,dual_baseline_11,18,cosine_error,0.0008286952799047009,0.0016104724420231697,neither_zero,True
single_baseline_06,dual_baseline_11,18,log_norm_ratio,3.361369834835151e-05,0.00017426153486520073,neither_zero,True
single_baseline_06,dual_baseline_11,20,relative_l2,0.021506739484244933,0.03618305776935488,neither_zero,True
single_baseline_06,dual_baseline_11,20,max_abs,0.0056529417634010315,0.005794270662590861,neither_zero,True
single_baseline_06,dual_baseline_11,20,normalized_max_abs,1.8843207781538869,1.9314304327498888,neither_zero,True
single_baseline_06,dual_baseline_11,20,cosine_error,0.00023127993779348266,0.0006546084234719807,neither_zero,True
single_baseline_06,dual_baseline_11,20,log_norm_ratio,4.836565552090123e-05,3.119384705013665e-05,neither_zero,False
single_baseline_06,dual_baseline_11,21,relative_l2,0.0262787862022481,0.050826764560299505,neither_zero,True
single_baseline_06,dual_baseline_11,21,max_abs,0.003212729119695723,0.005037351744249463,neither_zero,True
single_baseline_06,dual_baseline_11,21,normalized_max_abs,1.0710611515258774,1.6793544432923737,neither_zero,True
single_baseline_06,dual_baseline_11,21,cosine_error,0.00034530081044503724,0.0012917344042318035,neither_zero,True
single_baseline_06,dual_baseline_11,21,log_norm_ratio,4.1630773276796754e-05,0.00022368858879896094,neither_zero,True
single_baseline_06,dual_baseline_11,22,relative_l2,0.009019760774330556,0.0577932887500439,neither_zero,True
single_baseline_06,dual_baseline_11,22,max_abs,0.0013375685957726091,0.005380292423069477,neither_zero,True
single_baseline_06,dual_baseline_11,22,normalized_max_abs,0.4459463883612052,1.793792894607881,neither_zero,True
single_baseline_06,dual_baseline_11,22,cosine_error,4.0678784754777375e-05,0.0016701450821178243,neither_zero,True
single_baseline_06,dual_baseline_11,22,log_norm_ratio,5.3706145663402574e-05,0.00012333987278905878,neither_zero,True
single_baseline_06,dual_baseline_11,24,relative_l2,0.005183394380428638,0.02795966456988454,neither_zero,True
single_baseline_06,dual_baseline_11,24,max_abs,0.0012358727981336415,0.004742427030578256,neither_zero,True
single_baseline_06,dual_baseline_11,24,normalized_max_abs,0.4120212941020313,1.5810536720436101,neither_zero,True
single_baseline_06,dual_baseline_11,24,cosine_error,1.343387586938416e-05,0.0003909045336550898,neither_zero,True
single_baseline_06,dual_baseline_11,24,log_norm_ratio,1.5889368999095775e-05,0.0001037535551461458,neither_zero,True
single_baseline_06,dual_baseline_11,25,relative_l2,0.0005697729185979992,0.020624469441589088,neither_zero,True
single_baseline_06,dual_baseline_11,25,max_abs,0.00010211020708084106,0.0037428823998197913,neither_zero,True
single_baseline_06,dual_baseline_11,25,normalized_max_abs,0.034039533080308416,1.2477301994024919,neither_zero,True
single_baseline_06,dual_baseline_11,25,cosine_error,1.623128755845471e-07,0.00021269104683663276,neither_zero,True
single_baseline_06,dual_baseline_11,25,log_norm_ratio,4.0928380922891225e-06,8.241009325611086e-05,neither_zero,True
single_baseline_06,dual_baseline_11,26,relative_l2,0.00010362012428693276,0.0030323136778769143,neither_zero,True
single_baseline_06,dual_baseline_11,26,max_abs,1.627590972930193e-05,0.0004952069721184671,neither_zero,True
