pair_a,pair_b,scope,metric,value,envelope,zero_case,within
dual_baseline_11,dual_baseline_12,13,relative_l2,0.0030316166760043614,0.007741936020715216,neither_zero,True
dual_baseline_11,dual_baseline_12,13,max_abs,8.462884579785168e-07,2.462809788994491e-06,neither_zero,True
dual_baseline_11,dual_baseline_12,13,normalized_max_abs,0.0029691483045071383,0.00864088762460369,neither_zero,True
dual_baseline_11,dual_baseline_12,13,cosine_error,4.587948441381329e-06,2.6346127260379326e-05,neither_zero,True
dual_baseline_11,dual_baseline_12,13,log_norm_ratio,0.0001263490986563673,0.0032562324122055097,neither_zero,True
dual_baseline_11,dual_baseline_12,14,relative_l2,0.00606629044960309,0.008992452874951542,neither_zero,True
dual_baseline_11,dual_baseline_12,14,max_abs,1.214084477396682e-06,1.5739624359412119e-06,neither_zero,True
dual_baseline_11,dual_baseline_12,14,normalized_max_abs,0.006812105623532252,0.008811026153125909,neither_zero,True
dual_baseline_11,dual_baseline_12,14,cosine_error,1.8217261277930774e-05,3.9775246220341565e-05,neither_zero,True
dual_baseline_11,dual_baseline_12,14,log_norm_ratio,0.0006231337256762442,0.0019330804438689592,neither_zero,True
dual_baseline_11,dual_baseline_12,16,relative_l2,0.004596211164520558,0.007620824525479025,neither_zero,True
dual_baseline_11,dual_baseline_12,16,max_abs,7.413982530124485e-07,1.3034514267928898e-06,neither_zero,True
dual_baseline_11,dual_baseline_12,16,normalized_max_abs,0.004954858885451668,0.008701614829694712,neither_zero,True
dual_baseline_11,dual_baseline_12,16,cosine_error,1.0380057889003425e-05,2.782446342897149e-05,neither_zero,True
dual_baseline_11,dual_baseline_12,16,log_norm_ratio,0.0006148446634842561,0.0031779925128892607,neither_zero,True
dual_baseline_11,dual_baseline_12,17,relative_l2,0.003483650918120053,0.005534928052167607,neither_zero,True
dual_baseline_11,dual_baseline_12,17,max_abs,4.626235750038177e-07,8.988927220343612e-07,neither_zero,True
dual_baseline_11,dual_baseline_12,17,normalized_max_abs,0.0031899709010636164,0.0061839138989365555,neither_zero,True
