layer,head,value_column,magnitude_score,error_only_score,functional_only_score,favor_score
0,0,0,0.000665031669389767,1.2437468743797808e-07,50750.5028889974,1.3867745918387983e-07
0,0,1,0.003916679920318226,4.958325542740264e-07,673.1524155934652,7.656294053112644e-10
0,0,2,0.0028042744767541685,3.789462977484466e-07,683.4039154052734,8.397714468779688e-09
0,0,3,0.0037605267328520617,5.185018044547481e-07,304.48230997721356,1.200441508350525e-10
0,0,4,0.004722214459131162,6.549414948153753e-07,475.1711794535319,9.420397554619578e-09
0,0,5,0.0004232600974016047,6.922784597425864e-08,1817.3585357666016,1.2953146571660346e-09
0,0,6,0.0005097672522727711,7.687623574762863e-08,403.7911326090495,5.873704114958458e-10
0,0,7,0.00033555605538519256,4.360935879077488e-08,1724.2845865885417,1.244365172535511e-09
0,0,8,0.009157809506480893,1.0771752082897972e-06,311.4688370227814,8.075235846324857e-09
0,0,9,0.0062468313456823426,7.97101179728088e-07,536.2920866012573,3.6117768976706246e-09
0,0,10,0.0001632684666219575,3.3419393474787285e-08,114539.93115234375,2.1164685152600764e-08
0,0,11,0.01232384347046415,1.4833711740417737e-06,1560.9663327534993,1.2273141127027744e-07
0,0,12,0.006861319687838356,8.327919639820417e-07,709.4373964071274,8.799157583117001e-09
0,0,13,0.005226300874104102,6.773792051717464e-07,729.5755295753479,1.1056757230273884e-08
0,0,14,0.0032270243973471224,4.3133008631457415e-07,353.89494069417316,1.1242362637619435e-09
0,0,15,0.004768611746840179,6.709604605248387e-07,320.00580437978107,7.514445629814865e-09
0,0,16,0.005153382138814777,6.808730480164135e-07,3662.0893103281655,2.6990782773942193e-09
0,0,17,0.003468697250355035,4.319518562094042e-07,7442.480366071065,3.944511347877174e-08
0,0,18,0.004548922394557546,5.444260011699953e-07,224.35131708780924,7.627819102624481e-10
0,0,19,0.0010524773533688858,2.8763335713222205e-07,27016.858872731525,1.6941514447329128e-07
0,0,20,0.00071566292172065,7.50222562591792e-08,11627.604115804037,7.189494678124889e-10
0,0,21,0.027225314484288294,3.3225839501938026e-06,888.4120384057363,6.388483137637069e-08
0,0,22,0.003836000629235059,4.694679323809699e-07,1460.6289386749268,3.043729926895574e-08
0,0,23,0.0005606810276124937,6.633665054304554e-08,285.0875473022461,4.880190491695084e-10
0,0,24,0.0029339982817570367,4.1885609410504304e-07,50.39096546173096,1.196246274238165e-10
0,0,25,0.003370499015242482,4.898539505878338e-07,897.8282740910848,3.3813382146336e-09
0,0,26,0.0076187037241955595,1.0207421207534633e-06,647.5834503173828,1.1255011447136587e-08
0,0,27,0.00532795690620939,6.881856293716737e-07,1570.2682523727417,2.5217039482302675e-09
0,0,28,0.0003753140796713221,6.104701929151209e-08,15844.685358683268,1.2830996108196638e-08
0,0,29,0.0003263671605964191,4.766118329631771e-08,2654.967948913574,4.6229803954140285e-10
0,0,30,0.029346777747074764,3.7518019174361448e-06,69.76663085321586,1.3297625019544693e-09
0,0,31,0.0030767857194102057,3.828059528624787e-07,3255.605626424154,1.3906143024137544e-08
0,0,32,0.006188463264455398,7.707692380639249e-07,580.1014386018118,1.489548073716392e-09
0,0,33,0.005475216176516066,7.038628050774302e-07,2180.0008474985757,2.584399947172522e-08
0,0,34,0.0052683874576662975,6.340505459926741e-07,216.57806396484375,2.52133648103355e-09
0,0,35,0.0028422986021420607,3.779102234110117e-07,426.70623270670575,4.859413000101708e-09
0,0,36,0.00028401679689219844,5.2194660741614975e-08,181233.6357421875,1.0812099919081201e-07
0,0,37,0.0013729433412663639,1.721506256065671e-07,25057.924824679892,3.6902886403579124e-08
0,0,38,0.007009859313257039,9.512715308801489e-07,1393.7858946323395,3.715527154224716e-08
0,0,39,0.003270807646913454,3.8763261519155395e-07,2730.0671785672507,3.955721460576397e-08
0,0,40,0.015321138625343641,1.8345981042481678e-06,328.8014136950175,2.4916361941349982e-08
0,0,41,0.001988744809447477,2.3439305133858093e-07,2255.665725708008,1.3364892884016807e-08
0,0,42,0.003737140951367716,4.7383323931171617e-07,253.1725091934204,1.108201008426293e-09
0,0,43,0.003972176054958254,4.966250592985944e-07,676.7457148234049,2.9766635150314225e-09
0,0,44,0.005197467185401668,6.518573651230023e-07,389.51342743138474,4.037247234775081e-09
0,0,45,0.005339530451844136,7.310796164006206e-07,278.88883179426193,2.1088564615643715e-09
0,0,46,0.0029196206402654448,3.897097909562793e-07,13553.08245340983,1.0173336692740713e-09
0,0,47,0.007265120046213269,8.246200309258711e-07,474.5537479221821,1.3557545497316279e-09
0,0,48,0.004618025986322512,5.983177970847464e-07,2535.8225841124854,2.5983320693240736e-08
0,0,49,0.003591845976188779,4.5877719638080333e-07,169.2154026031494,3.975643480259919e-09
0,0,50,0.0038868640064417073,5.044737889647877e-07,610.6671015421549,2.5718941721690016e-09
0,0,51,0.0009510269495270526,1.95994272663332e-07,672.3967654705048,2.38013749714102e-10
0,0,52,0.003540865844115615,4.2907335284780856e-07,448.1911319096883,3.958222403778929e-09
0,0,53,0.0054288018339624005,6.962494344027922e-07,2676.8330912590027,1.6849038141188039e-07
0,0,54,0.007997406374973556,1.0253772539196386e-06,439.4157346089681,4.975770375876173e-10
0,0,55,0.00022034186016147336,3.404697782964187e-08,36139.50598780314,1.4543684247365907e-09
0,0,56,0.005969627488714953,7.444124747735259e-07,4460.409523010254,1.164869068912e-08
0,0,57,0.0051583885215222836,7.195856449963381e-07,373.0710029602051,4.920821754702172e-09
0,0,58,0.005950137856416404,7.170953490269009e-07,459.67181491851807,1.0865140257406332e-09
0,0,59,0.0007503197314993789,1.3001561309048762e-07,10017.904740333557,3.423741968275676e-08
0,0,60,0.004600165702868253,5.760588640176442e-07,606.6730292638143,4.274663898016353e-09
0,0,61,0.006217863759957254,8.263034393015308e-07,1025.0839144388835,2.0654012831619606e-08
0,0,62,0.00016535687063878868,3.5082944771502866e-08,555.2436777750651,5.514821415930095e-11
0,0,63,9.878587782926236e-05,1.3579550965185186e-08,3800.264803568522,1.1566480773740155e-10
0,0,64,0.006632897847642501,8.015830227729263e-07,1728.2909506162007,4.642633195418855e-09
0,0,65,0.0033708151895552874,4.233066851118868e-07,55712.02939192454,8.576633536424469e-10
0,0,66,0.0005561408761423081,1.3949524616900058e-07,58435.56721289953,4.666133001281677e-08
0,0,67,5.830116651850403e-05,8.365833063332198e-09,32314.013102213543,1.813556316926368e-08
0,0,68,0.0011566430039238185,1.270289035441389e-07,21963.860870361328,1.0251157778253897e-08
0,0,69,0.004239286994561553,5.530194897573892e-07,964.7705643971761,1.101537968478672e-09
0,0,70,0.0047633606979313,6.448073103607991e-07,770.8077123165131,1.4282626948902237e-09
0,0,71,0.0003688162663214219,4.8762339647604826e-08,2049.6518351236978,1.1065479782468302e-09
0,0,72,0.009580165691052875,1.1634716609402556e-06,563.8518854379654,2.583163671978977e-10
0,0,73,0.005939152460390081,8.368471782205233e-07,524.2222423553467,4.256300756289022e-09
0,0,74,0.003194435383193195,4.192659801560694e-07,561.7402763366699,3.382324815191795e-10
0,0,75,0.00010979783079771248,1.9380232085808302e-08,222037.37239583334,2.4469938649425888e-08
0,0,76,0.0008272184374315353,1.449844084788765e-07,5431.501647949219,4.5779411020121135e-09
0,0,77,0.004348237145071228,5.990065403693734e-07,606.4762204488119,1.2001755940670213e-08
0,0,78,0.005234710910978417,6.611245405944525e-07,577.4509687423706,3.543608418418026e-09
0,0,79,0.017705843628694613,2.21249179806667e-06,644.1391077836355,6.630910831376992e-09
0,0,80,0.004301593134490152,6.139728346473324e-07,703.3546174367269,3.3430324735313674e-09
0,0,81,0.0034597883156190314,4.640118949813162e-07,796.7501312891642,3.4452768274291037e-09
0,0,82,0.0003150815609842539,6.139627103015262e-08,4116.411712646484,6.449252426767663e-09
0,0,83,0.015554543739805618,1.9772865584855026e-06,318.5918836593628,6.358341085125711e-09
0,0,84,0.00415325320015351,5.131661969433784e-07,518.2771937052408,3.843158943861447e-09
0,0,85,0.0005302776989992708,1.0540552904577301e-07,604.5755144755045,4.0650107643406635e-10
0,0,86,0.0009190243678555513,9.714628982730271e-08,4117.103299776713,5.984832476020014e-10
0,0,87,0.010605875713129839,1.2835426209297414e-06,369.7922461827596,5.999231222619343e-09
0,0,88,0.0021403306745924056,2.4764300832202935e-07,8195.548241933187,2.7681526293399372e-08
0,0,89,0.0028743784835872552,3.6321998919675025e-07,2133.7312647501626,7.996735459000112e-09
0,0,90,0.01847340663274129,2.3003357606891464e-06,570.5854778289795,9.209141747211954e-09
0,0,91,0.000661041182562864,1.0760133628551216e-07,780.7039527893066,8.429903680506919e-09
0,0,92,0.0007745715556666255,1.1312582396764508e-07,394.5641549428304,3.5081474935675744e-10
0,0,93,0.0004986088533769362,9.87598907838579e-08,6051.595732371013,1.009767261520385e-08
0,0,94,0.0034619009238667786,5.13997993796996e-07,658.4041883150736,6.669844964240593e-10
0,0,95,0.0030606129633573196,3.82494600141096e-07,226.43838948011398,1.6381490460278213e-09
0,0,96,0.0037039408925920725,4.765762113834171e-07,280.1750679016113,1.3417023886516442e-09
0,0,97,0.0050197056455848115,6.280201650573266e-07,2952.664311250051,7.807290230976704e-10
0,0,98,0.0006456386715096111,1.334369142587851e-07,9416.318073908487,7.309952606883903e-08
0,0,99,0.004495227282556395,5.920607767014493e-07,2015.814296722412,1.3157193175252998e-07
0,0,100,0.003108776562536756,4.133304318069501e-07,4361.696497281392,1.5791405844356918e-07
0,0,101,0.023538179229944944,2.9539746530341895e-06,137.7683981259664,1.8658502382029596e-09
0,0,102,0.004157679912168533,5.356208608494247e-07,477.3172008196513,2.376388642093432e-08
0,0,103,0.00552124409781148,6.838772179662556e-07,661.3420683542887,8.239770321489629e-09
0,0,104,0.0003047157770197373,4.13614788345266e-08,119159.01436106364,7.528186866930774e-08
0,0,105,0.002475923548142115,3.855266565248409e-07,53760.85607369741,3.732297177404716e-07
0,0,106,0.0026943842919232943,3.3456783536204665e-07,6163.773485819499,3.0638942679258227e-09
0,0,107,0.005029332785246273,6.295041240870584e-07,4060.5826613108316,6.091798460184424e-07
0,0,108,0.00445445681301256,5.649357035508729e-07,669.7590495745341,1.1724055048174657e-08
0,0,109,0.0030005862548326454,4.027762609363587e-07,3065.539503733317,2.0712117293255248e-09
0,0,110,0.004321784828789532,5.814550074016248e-07,754.993070602417,9.57452851030327e-09
0,0,111,0.016971327364444733,2.2504140038866658e-06,259.23965644836426,3.89932975636507e-09
0,0,112,0.002834847332754483,3.9811925726477665e-07,7427.766268412272,1.1421304251441923e-06
0,0,113,896.0144399007162,0.11171589853862922,1.4445970182617505,2.2911863926111664e-06
0,0,114,0.011355254682712257,1.4174650952251493e-06,101.50012799104054,2.05545051624433e-09
0,0,115,0.004595441685523838,6.191319765018003e-07,542.7874437173208,6.265759809146824e-10
0,0,116,0.0011707991646593048,9.813265429888436e-08,1072.517570177714,3.51508011355491e-10
0,0,117,0.0060891231599574285,8.296292387891905e-07,435.84286816914874,2.8020881718814985e-09
0,0,118,0.001880944095319137,2.439821985925998e-07,523.1992816925049,3.200231010006196e-10
0,0,119,0.003637487282200406,4.2552210288704373e-07,254.3713901837667,9.997145275960258e-10
0,0,120,0.004116812138818204,5.061959266564978e-07,3012.649384498596,6.914084018279827e-09
0,0,121,0.004494707061288257,5.344444389265846e-07,512.6593344608942,1.8215201390050135e-09
0,0,122,0.0008005575940236062,1.0238610574179556e-07,24381.74102274577,2.4063992668891625e-08
0,0,123,0.0035723342249790826,4.98947128354151e-07,566.9905069669088,6.734350175941478e-10
0,0,124,0.0038511580981624625,4.7116857852339916e-07,336.96928946177167,1.6500135378387053e-09
0,0,125,0.0038900829385966063,4.7080087976307067e-07,7884.910126407941,4.4274121733962425e-08
0,0,126,0.005294306921617438,6.947788998938146e-07,60.88010549545288,7.272508035597683e-10
0,0,127,0.011784491129219532,1.5334252623233624e-06,75.26279995838802,1.1248338869015786e-09
0,1,0,0.00027099346577112254,5.358605766521881e-08,3243.593666871389,3.3077548975320634e-09
0,1,1,0.00033582030118850525,5.952344039883428e-08,48288.92310587565,9.579776868764064e-09
0,1,2,0.00031270215125308215,5.2417557479718844e-08,383607.8091023763,1.0922409277950665e-08
0,1,3,0.00015767502204274328,3.09430813564641e-08,89969.99043782552,1.1524148417948095e-09
0,1,4,0.0002984044103868655,5.985177694197337e-08,27270.90146255493,3.901406067908783e-07
0,1,5,0.00038946921570944443,6.885589920457846e-08,50728.29216003418,1.1246065142682682e-09
0,1,6,0.00021247451953361937,3.796126054241474e-08,5158.906326611836,6.027494393091497e-10
0,1,7,0.00043121846404877334,8.240875863189483e-08,17939.4477742513,3.913586220502183e-09
