layer,max_singular,median_singular,min_singular,condition_number,stable_rank,effective_rank,top1_energy_fraction,top5_energy_fraction,top10_energy_fraction,top32_energy_fraction,top64_energy_fraction
0,13.319743156433105,0.7255340814590454,0.00016464057262055576,80901.9453125,22.48601777253299,1556.6973876953125,0.04447208086040677,0.08077501290202592,0.1153036295129322,0.19455765527243205,0.24200684840087391
1,12.78160572052002,0.8072365522384644,0.00024598059826530516,51961.84375,26.806316280944234,2011.4464111328125,0.03730464102851706,0.057624391450922366,0.07070163573487596,0.10426780580260128,0.13735118812015865
2,8.930272102355957,0.8300088047981262,7.580708188470453e-05,117802.609375,55.502793770529145,2280.7470703125,0.018017111897310274,0.02800938634877171,0.03780067609046662,0.06854700173731591,0.10190630269848218
4,8.717917442321777,0.7774959206581116,0.00046895976993255317,18589.904296875,57.43294364132316,2128.522216796875,0.017411609333359283,0.03370112515504104,0.0463388268594187,0.08176450752430094,0.11916476277153434
5,8.138578414916992,0.7414146065711975,9.008488996187225e-05,90343.4375,63.21914240111655,2074.618896484375,0.015817993570877185,0.029206250466427695,0.04199679666201015,0.08269103566772622,0.12556090846123166
6,7.924590587615967,0.7775329351425171,0.00012670604337472469,62543.11328125,66.73619042946775,2160.56787109375,0.014984373720234732,0.029227874398659596,0.04126733257277047,0.07908842294704824,0.11990182296245055
8,7.796276569366455,0.7230052351951599,0.00023302629415411502,33456.640625,67.15423526507213,2031.02685546875,0.014891093719953546,0.029681085573487014,0.043055354103632974,0.08658541034834516,0.13247123540686423
9,7.350423336029053,0.7128326892852783,0.00019780363072641194,37160.203125,76.5723977959193,2014.6400146484375,0.013059536538633806,0.02628535151134825,0.03893398303205351,0.08187308438451094,0.12787661727842237
10,7.202459335327148,0.6699271202087402,0.0002374716568738222,30329.763671875,78.62280021648226,1872.4395751953125,0.012718956596073673,0.03030081857867288,0.04555094371404415,0.09329839329894547,0.1444035547184864
12,6.293954372406006,0.661553144454956,0.00010998512880178168,57225.50390625,99.8348576573814,1885.77783203125,0.010016541410288335,0.025938659675059792,0.04211375586284669,0.09347212477132905,0.1458689501514966
13,6.2744269371032715,0.6547242999076843,8.08433978818357e-05,77612.109375,102.56527580391112,1862.060546875,0.009749888845852482,0.02506666792531021,0.0398692740460424,0.08893395954729703,0.14206355607777
14,6.398465633392334,0.6207887530326843,2.450307147228159e-05,261129.109375,93.76648748446975,1783.5406494140625,0.010664790712384688,0.02958720300875153,0.04727132036374773,0.10273756501582561,0.15820042707059787
16,6.207236289978027,0.6186720132827759,5.82282264076639e-05,106601.84375,98.58669561969975,1706.484375,0.010143356233731825,0.0342675456209411,0.055622083394338634,0.11947830141153974,0.1801033199702238
17,5.32109260559082,0.6589916944503784,0.00010327427298761904,51523.89453125,139.08265529919666,1906.3143310546875,0.007189968981414575,0.02430319001101487,0.03952898160552564,0.08692631844487109,0.13729907246785444
18,4.917375564575195,0.6956468820571899,2.7861009584739804e-05,176496.65625,154.38152348220126,2067.75,0.0064774589668743585,0.023243065699827443,0.037883006304824836,0.08263226404714241,0.12724375253098127
20,3.930777072906494,0.7469643354415894,9.175475497613661e-06,428400.3125,243.00731132659635,2331.198974609375,0.004115102629696544,0.016443075917903588,0.025775994756973074,0.05255002037155955,0.08414803315941104
21,4.880051612854004,0.7433685064315796,0.00015561758482363075,31359.255859375,160.75542614549718,2285.60595703125,0.00622062970823844,0.01844559067060926,0.028200195184957304,0.05765726779067488,0.09100262680549431
22,3.4990599155426025,0.7624093890190125,0.0001248502521775663,28026.0546875,328.1845250923142,2318.733642578125,0.0030470663566549605,0.011656447535207799,0.02023521625345072,0.049180084392272214,0.08338118452252992
24,3.626214027404785,0.7484716176986694,0.00011469615856185555,31615.828125,300.5856596309818,2271.10888671875,0.003326838732301017,0.01462819158592379,0.025153731778150123,0.06007575653224938,0.0966669432852441
25,3.5136404037475586,0.7706683278083801,0.00012478794087655842,28156.890625,340.2664870825737,2261.737060546875,0.0029388730020106293,0.013654223198924035,0.025388614046815194,0.06464207695814406,0.10087794774407974
26,3.7690136432647705,0.773628294467926,2.9813618311891332e-05,126419.1875,299.55195135175563,2236.2890625,0.0033383189959450593,0.015297851861694616,0.02822508187793595,0.07270592607841232,0.10707028254916173
28,4.540643692016602,0.7915767431259155,9.534919809084386e-05,47621.203125,207.57366605128482,2280.65234375,0.0048175667557075535,0.01578170281070658,0.027723535175191386,0.07072007598662816,0.10616614088331601
29,5.408354759216309,0.784591555595398,0.0002352095762034878,22993.76953125,153.82944559048863,2150.645751953125,0.006500706035934087,0.01904424584545746,0.033779121650848044,0.08923778341273565,0.12732018794382344
30,9.894904136657715,0.788851797580719,4.9321864935336635e-05,200619.015625,47.03314909839441,2119.618408203125,0.02126159959327697,0.03586753052808464,0.04464977582412361,0.07296166902131568,0.1066032994104117
