stage_index,stage_name,R_GT_C_units,median_R_over_C,R_to_CV_rescue_units,C_to_RV_gain_units,bidirectional_units,median_R_transfer_rescue,median_C_transfer_gain
0,raw_core_output,5,1.0168600945176376,0,5,0,-0.3962529390307028,0.015587219256684937
1,rms_normalized_core,0,0.14843857625888796,9,9,9,426.68842660591963,15404.941758442643
2,learned_norm_weight,0,0.22485431962734065,9,9,9,416.43811839685236,14868.142000013833
3,dynamic_silu_z_gate,0,0.39433517743457835,9,9,9,576.9746908669082,14540.882135307038
4,head_merge_flatten,0,0.39433517743457835,9,9,9,576.9746908669082,14540.882135307038
5,out_proj_hidden_contribution,0,0.600896510978606,9,9,9,619.307206740071,14060.50388618791
