candidate,spearman_vs_dynamic_diag,spearman_vs_future_KL,oracle_only
q2_staticw,0.7870281047012669,0.4196411344781015,NO
prev1_q2_staticw,0.7740690719660428,0.397774776512959,NO
recent4_q2_staticw,0.7698565824168757,0.40565309666216476,NO
recent8_q2_staticw,0.7606598495080069,0.399929255900701,NO
recent16_q2_staticw,0.7781207794713486,0.40690719660428326,NO
future_oracle4_q2_staticw,0.7597916264711557,0.3760370441829057,YES
