operator,FP64_equivariance_error,FP32_equivariance_error,native_dtype_error,FORMAL_STATUS
raw_core,1.2508366628227047e-15,0.0001250745114876695,0.0001250745114876695,FORMAL_SUPPORTED
pure_rms_normalization,2.0107379789411123e-10,2.0325879513263036e-07,0.002557664468728287,FORMAL_SUPPORTED
learned_norm_weight,,2.125035489334466,2.125035489334466,NOT_SUPPORTED
dynamic_z_gate,,9.906901638805028,9.906901638805028,NOT_SUPPORTED
