horizon,branch,mean_raw_norm,mean_functional_diag,mean_toxicity,mean_static_column_orientation,mean_high_sensitivity_state_fraction,mean_cosine_to_initial,mean_new_KL
0,REAL_R,4.571721366234666,1.8162693733697575,0.39758869185054646,655.1971275110542,0.024365418724140206,1.0000472673744114,0.0
0,REAL_C,2.3804796203766547,0.8713474898805801,0.36832118369400413,232.45216540536137,0.00658722997816609,1.0000660429933523,0.0
1,REAL_R,4.478931810808614,2.190463440632619,0.48978573349633897,594.9442567504318,0.018449107010875723,0.8474375133555815,0.0022566950155094765
1,REAL_C,2.3138012893574453,0.9695390338559002,0.42016552948182756,233.2736885957433,0.006929963539493683,0.9821297936770248,0.0002923320629666752
2,REAL_R,4.449279814474749,2.777027444806544,0.629509456050905,629.5978973201015,0.019536502993674928,0.7294560772615747,9.947114585001175e-05
2,REAL_C,2.2769807697891875,0.9937790939940212,0.43838904981351534,237.2438263943572,0.007287786629577815,0.9624276581547441,3.234599681513967e-05
4,REAL_R,4.373271207644597,3.5416420718072765,0.802819078776609,762.9904332493346,0.023249023570887067,0.6245155713862469,0.00022783636348834414
4,REAL_C,2.2538629774729997,1.1982835830869882,0.5312190811814664,256.9458772791621,0.008435416849935734,0.9212464327220312,9.46689817433239e-06
8,REAL_R,4.171432594564931,2.9942293783549943,0.7158938132161364,801.5420926674545,0.025148750882615416,0.5895909194183483,0.0017444593808912205
8,REAL_C,2.215653920648255,1.132178432116306,0.5121697105473679,272.03551192487765,0.009167237651413702,0.8942125959425015,0.00014176552103139443
16,REAL_R,3.873846802159368,2.3459524267334455,0.6087041101053943,988.4223502967701,0.03639552879455949,0.5205939584442245,0.004169446939155108
16,REAL_C,2.1265734850216576,1.0560927857816205,0.4993513769695337,290.68984894725196,0.010631634678703775,0.8487869270176716,6.009661329563364e-05
32,REAL_R,3.6856788440361705,3.589215117715424,0.9314371921624206,1126.9860441499259,0.04625815292221919,0.46100816470752437,0.0005427195378157674
32,REAL_C,2.041357947211213,1.2784119718865203,0.6161959679500292,307.4253011970934,0.01225525204195568,0.7936955543163678,0.00022682657420076198
