horizon,branch,mean_new_KL,mean_state_error,top1_mean
0,FP,0.0,0.0,1.0
0,REAL_R,0.0,2.380479615735133,1.0
0,REAL_C,0.0,2.3804796203766547,1.0
0,R_NO_TANGENTIAL,0.0,2.3006490274496274,1.0
0,R_NO_PARALLEL,0.0,2.380455675018298,1.0
0,C_PLUS_R_TANGENT,0.0,2.457630641643671,1.0
0,C_PLUS_RANDOM_TANGENT,0.0,4.1880465552418435,1.0
0,C_PLUS_PARALLEL_CONTROL,0.0,2.3804906048152477,1.0
0,PULSE_PARALLEL,0.0,2.380479558125678,1.0
0,PULSE_TANGENTIAL,0.0,2.3804795145191613,1.0
1,FP,0.0,0.0,1.0
1,REAL_R,0.0009916626813173896,2.2846649390109235,1.0
1,REAL_C,0.0002923320629666752,2.3138012893574453,1.0
1,R_NO_TANGENTIAL,0.00018527936003288737,2.202466009881604,1.0
1,R_NO_PARALLEL,0.0010612331744357878,2.2853620437799496,1.0
1,C_PLUS_R_TANGENT,0.0009846957958617884,2.4081119132720747,1.0
1,C_PLUS_RANDOM_TANGENT,4.545756766365634,10.008671792029972,0.2222222222222222
1,C_PLUS_PARALLEL_CONTROL,0.0004329796948512568,2.3137951902213754,1.0
1,PULSE_PARALLEL,0.4604102521581442,2.849034180743804,0.8888888888888888
1,PULSE_TANGENTIAL,3.387280317437318,9.341578228336244,0.2222222222222222
4,FP,0.0,0.0,1.0
4,REAL_R,5.8028184045137245e-05,2.2026123632866423,1.0
4,REAL_C,9.46689817433239e-06,2.2538629774729997,1.0
4,R_NO_TANGENTIAL,0.00021926794066580899,2.1117892132620026,1.0
4,R_NO_PARALLEL,0.00021436411998602503,2.2020059544956165,1.0
4,C_PLUS_R_TANGENT,6.547027727618924e-05,2.364096873855375,1.0
4,C_PLUS_RANDOM_TANGENT,6.611045572492811,22.290795220628127,0.0
4,C_PLUS_PARALLEL_CONTROL,9.49722501042416e-06,2.2526381950512535,1.0
4,PULSE_PARALLEL,0.008151546234827044,3.739308587278786,1.0
4,PULSE_TANGENTIAL,6.14745753341251,19.111839318380603,0.1111111111111111
16,FP,0.0,0.0,1.0
16,REAL_R,0.000499415981565221,1.9408616737767435,1.0
16,REAL_C,6.009661329563364e-05,2.1265734850216576,1.0
16,R_NO_TANGENTIAL,0.0003926080082262078,1.8702236854275196,1.0
16,R_NO_PARALLEL,0.0004724307970833921,1.9407477744912127,1.0
16,C_PLUS_R_TANGENT,0.0003723068127944194,2.234620107474435,1.0
16,C_PLUS_RANDOM_TANGENT,4.2132388022210865,28.101721520863272,0.4444444444444444
16,C_PLUS_PARALLEL_CONTROL,3.0794634222372806e-06,2.125066190733362,1.0
16,PULSE_PARALLEL,0.0020157393801206857,3.269953712818363,1.0
16,PULSE_TANGENTIAL,1.9811377891649802,23.445926555218197,0.6666666666666666
64,FP,0.0,0.0,1.0
64,REAL_R,0.0008024392883888565,1.8900870214727132,1.0
64,REAL_C,0.00028667179978963335,1.9304264597652347,1.0
64,R_NO_TANGENTIAL,0.0004441608410412727,1.6713253999253705,1.0
64,R_NO_PARALLEL,0.000542958257096752,1.8896285432315065,1.0
64,C_PLUS_R_TANGENT,0.0005583252423038884,2.2385267404580573,1.0
64,C_PLUS_RANDOM_TANGENT,3.4069173766507044,30.74243793924613,0.2222222222222222
64,C_PLUS_PARALLEL_CONTROL,0.0005862687990091745,1.9169202189206247,1.0
64,PULSE_PARALLEL,0.002918513693932201,3.1962345137615404,1.0
64,PULSE_TANGENTIAL,0.4340163525161592,22.98471306863449,0.6666666666666666
128,FP,0.0,0.0,1.0
128,REAL_R,1.2945766035511576e-05,1.7253827259709802,1.0
128,REAL_C,5.935110698216148e-07,1.7784221910110665,1.0
128,R_NO_TANGENTIAL,2.8044026802515673e-06,1.5570739634181563,1.0
128,R_NO_PARALLEL,1.3832581948949566e-05,1.7329029333032442,1.0
128,C_PLUS_R_TANGENT,4.7834298439377835e-05,2.0895945308851367,1.0
128,C_PLUS_RANDOM_TANGENT,2.0264715370204716,31.161743166480093,0.5555555555555556
128,C_PLUS_PARALLEL_CONTROL,9.513777411552917e-08,1.7731226198956886,1.0
128,PULSE_PARALLEL,0.0005002052802443776,3.172154584963435,1.0
128,PULSE_TANGENTIAL,0.32812917065004715,23.05664768676579,0.7777777777777778
