bin,n,R_tangent_future_KL_spearman,R_tangent_frac_future_KL_spearman
0,864,0.3038111282278179,0.40409970865065725
1,864,0.386007327203202,0.4351568689744818
2,864,0.35755027736328215,0.5595311172058758
3,864,0.1839581022650757,0.35690916432350783
