metric,delta_vs_new_KL_gap_pearson,delta_vs_new_KL_gap_spearman
state_error_norm,-0.13803648339568778,-0.06666666666666667
readout_error_norm,0.11395073765506597,0.06666666666666667
tangential_magnitude,0.22402319982068702,0.25
tangential_fraction,-0.26849791392234906,-0.35
post_rms_distortion,0.2635298598913979,0.16666666666666666
out_proj_distortion,0.7053695870019794,0.6166666666666667
R_J,0.2587052920038815,0.13333333333333333
