unit_id,KL_R,KL_C,KL_R_to_CV,KL_C_to_RV,R_safety_transfer,C_harm_transfer,R_to_CV_positive,C_to_RV_positive,BIDIRECTIONAL_TRANSFER_POSITIVE,transfer_valid
test/algebra/1332.json|64,0.0002503266632394594,0.00011306085905189798,0.00019951548638607897,0.00045126065197546985,5.081117685338041e-05,0.0003381997929235719,True,True,True,True
test/algebra/1332.json|128,0.0002728551723764287,0.00016010373975861025,0.0001821178089320336,0.0002551928938266958,9.073736344439507e-05,9.508915406808557e-05,True,True,True,True
test/algebra/1332.json|256,0.0004853808461824319,0.00010580278440220769,0.00034486538546781926,0.0005239938649136814,0.00014051546071461264,0.00041819108051147373,True,True,True,True
test/counting_and_probability/119.json|64,0.00032834268730479177,0.00016609193830749729,0.0001954607252287985,0.00042945300077786404,0.00013288196207599326,0.00026336106247036676,True,True,True,True
test/counting_and_probability/119.json|128,0.0002107239836072007,7.659512086297301e-05,0.00011404757579719089,0.00027791828469890507,9.66764078100098e-05,0.00020132316383593207,True,True,True,True
test/counting_and_probability/119.json|256,0.0001980385848757696,0.0001267737564188637,9.832805730170486e-05,0.00032981611446012776,9.971052757406475e-05,0.00020304235804126408,True,True,True,True
test/geometry/477.json|64,0.0004586142724585481,0.00021612386996426255,0.00026408285148550603,0.019791525676523872,0.00019453142097304208,0.01957540180655961,True,True,True,True
test/geometry/477.json|128,0.0007333794043785985,0.000358217984099674,0.0003632810110004575,0.001165137568703686,0.00037009839337814095,0.000806919584604012,True,True,True,True
test/geometry/477.json|256,0.0007347332020312984,0.0005071603297231891,0.0005585022689339647,0.00107292626346179,0.00017623093309733365,0.000565765933738601,True,True,True,True
