unit_id,prompt_id,t0,selector,protection_ratio,future_KL_mean,future_KL_median,future_KL_max,top1_agreement,top10_overlap,state_error_abs_mean,state_error_rel_mean,relative_rescue_vs_C128,num_steps
test/geometry/477.json|64,test/geometry/477.json,64,C128_INT8,0.0,0.00019838211266928751,5.47857302990451e-06,0.002600151114165783,1.0,0.9718749999999998,13.757480648631821,0.06353722143768524,0.0,32
test/geometry/477.json|64,test/geometry/477.json,64,B1_MAGNITUDE_BOUNDARY,0.375,0.00013866928598571526,1.346417548120371e-06,0.0017268845112994313,1.0,0.990625,1.448892694881176,0.006691407659163434,0.3009990446170787,32
test/geometry/477.json|64,test/geometry/477.json,64,B2_ERROR_ONLY_BOUNDARY,0.375,0.0001532185630020444,6.018467217927537e-07,0.001933178398758173,1.0,0.9937499999999999,1.440231353380896,0.006651345215444871,0.2276593833581838,32
test/geometry/477.json|64,test/geometry/477.json,64,B3_FUNCTIONAL_ONLY_BOUNDARY,0.375,0.00025773996114927117,2.11026690521976e-06,0.0019239999819546938,1.0,0.9843749999999999,1.4826416549290213,0.006847219805532153,-0.29920967864540465,32
test/geometry/477.json|64,test/geometry/477.json,64,B4_FAVOR_BOUNDARY,0.375,0.0002725738805389455,1.0740628226812987e-06,0.001726843067444861,1.0,0.9812499999999998,1.4723082804435572,0.006799466874452223,-0.37398415863911605,32
test/geometry/477.json|64,test/geometry/477.json,64,B0_RANDOM_BOUNDARY_seed1729,0.375,0.0001878633197797408,1.5896169998086407e-06,0.0017269592499360442,1.0,0.984375,1.5249770191191525,0.0070428629123398725,0.05302288948832375,32
test/geometry/477.json|64,test/geometry/477.json,64,B0_RANDOM_BOUNDARY_seed2718,0.375,0.0003498530228974728,4.897302687822958e-07,0.006254863925278187,1.0,0.9937499999999999,1.4906695621743256,0.00688429589726899,-0.7635310836575445,32
test/geometry/477.json|64,test/geometry/477.json,64,B0_RANDOM_BOUNDARY_seed3141,0.375,0.00019971736806059098,1.2198276522212836e-06,0.0018836769741028547,1.0,0.9749999999999999,1.5047989452815174,0.0069496149311347255,-0.0067307246939076575,32
test/geometry/477.json|128,test/geometry/477.json,128,C128_INT8,0.0,0.0008688037252671532,0.00040177683695219457,0.004435000941157341,1.0,0.9749999999999999,17.091006398636292,0.07737216656920325,0.0,32
test/geometry/477.json|128,test/geometry/477.json,128,B1_MAGNITUDE_BOUNDARY,0.375,0.0003329350385091745,0.00016042957577155903,0.0016972312005236745,1.0,0.9812499999999998,1.884690238428682,0.008532643204298744,0.6167891211290703,32
