C_to_RV_gain_units,R_GT_C_units,R_to_CV_rescue_units,bidirectional_units,median_C_transfer_gain,median_R_over_C,median_R_transfer_rescue,stage_index,stage_name
5,5,0,0,0.015587219256684937,1.0168600945176376,-0.3962529390307028,0,raw_core_output
9,0,9,9,15404.941758442643,0.14843857625888796,426.68842660591963,1,rms_normalized_core
9,0,9,9,14868.142000013833,0.22485431962734065,416.43811839685236,2,learned_norm_weight
9,0,9,9,14540.882135307038,0.39433517743457835,576.9746908669082,3,dynamic_silu_z_gate
9,0,9,9,14540.882135307038,0.39433517743457835,576.9746908669082,4,head_merge_flatten
9,0,9,9,14060.50388618791,0.600896510978606,619.307206740071,5,out_proj_hidden_contribution
