config,future_KL,horizon,logit_relative_L2,prompt_id,relative_state_error,state_error_norm,t0,top1_agreement,unit_id
R128,0.0,0,0.0,test/algebra/1332.json,0.021319065375448983,4.556015550393009,64,1,test/algebra/1332.json|64
R64,0.0,0,0.0,test/algebra/1332.json,0.015172633460415853,3.242485201329427,64,1,test/algebra/1332.json|64
R32,0.0,0,0.0,test/algebra/1332.json,0.010610940219546238,2.267623265521561,64,1,test/algebra/1332.json|64
R16,0.0,0,0.0,test/algebra/1332.json,0.00744155778127462,1.5903067218734137,64,1,test/algebra/1332.json|64
C128,0.0,0,0.0,test/algebra/1332.json,0.01024526052872532,2.1894752637915404,64,1,test/algebra/1332.json|64
C64,0.0,0,0.0,test/algebra/1332.json,0.008542525944543742,1.825590397963558,64,1,test/algebra/1332.json|64
C32,0.0,0,0.0,test/algebra/1332.json,0.007122903493889813,1.5222083384331868,64,1,test/algebra/1332.json|64
C16,0.0,0,0.0,test/algebra/1332.json,0.005835278180502815,1.247034879955658,64,1,test/algebra/1332.json|64
R128,0.0004949253052473068,1,0.02548355075362732,test/algebra/1332.json,0.020972348130452522,4.465364063008966,64,1,test/algebra/1332.json|64
R64,0.0015316475182771683,1,0.020096395796913417,test/algebra/1332.json,0.014895167487571939,3.171430552162408,64,1,test/algebra/1332.json|64
R32,4.240784619469196e-06,1,0.018381479868441804,test/algebra/1332.json,0.010492283831261103,2.233982902990865,64,1,test/algebra/1332.json|64
R16,0.001533040776848793,1,0.017376526862818577,test/algebra/1332.json,0.007480410568716757,1.592704656737907,64,1,test/algebra/1332.json|64
C128,5.232254807197023e-07,1,0.008095249539035452,test/algebra/1332.json,0.01003195641781595,2.1359714892745743,64,1,test/algebra/1332.json|64
C64,0.001261938363313675,1,0.007937699426422702,test/algebra/1332.json,0.00835931436308666,1.7798379902973909,64,1,test/algebra/1332.json|64
C32,4.2007159208878875e-06,1,0.007488802739481126,test/algebra/1332.json,0.006977749557282238,1.485679711206116,64,1,test/algebra/1332.json|64
C16,4.283789166947827e-06,1,0.007663428635166831,test/algebra/1332.json,0.005737744393976853,1.221661850176553,64,1,test/algebra/1332.json|64
R128,0.0005477672093547881,2,0.0462878320408946,test/algebra/1332.json,0.02097629254471476,4.509747047668227,64,1,test/algebra/1332.json|64
R64,0.0023576519452035427,2,0.031585974309340764,test/algebra/1332.json,0.014893013103555947,3.201887165306931,64,1,test/algebra/1332.json|64
R32,0.0005399344954639673,2,0.019876182457071154,test/algebra/1332.json,0.010517674719720857,2.2612219206271025,64,1,test/algebra/1332.json|64
R16,0.0005454854108393192,2,0.015916483045883004,test/algebra/1332.json,0.007606723612768142,1.635389060387258,64,1,test/algebra/1332.json|64
C128,9.513882105238736e-06,2,0.011664093473413916,test/algebra/1332.json,0.009852044092381513,2.1181162812448227,64,1,test/algebra/1332.json|64
C64,3.4265758586116135e-07,2,0.011165138620340687,test/algebra/1332.json,0.008219120872679855,1.7670499212853306,64,1,test/algebra/1332.json|64
C32,3.217827497792314e-07,2,0.009602628330680171,test/algebra/1332.json,0.006866612821811121,1.4762707391991414,64,1,test/algebra/1332.json|64
C16,1.0512712833588012e-06,2,0.01072759230765374,test/algebra/1332.json,0.005652022618543382,1.215142869646542,64,1,test/algebra/1332.json|64
R128,6.606992997149064e-08,3,0.04320229937800118,test/algebra/1332.json,0.020467515800787057,4.487672848569207,64,1,test/algebra/1332.json|64
R64,1.2923800341013703e-07,3,0.02849695755355778,test/algebra/1332.json,0.014477097478451415,3.1742238732087773,64,1,test/algebra/1332.json|64
R32,2.652082287113444e-07,3,0.020210577987432223,test/algebra/1332.json,0.01016128894855624,2.227947004645706,64,1,test/algebra/1332.json|64
R16,-2.01574508196245e-08,3,0.015113568005584417,test/algebra/1332.json,0.00732543753379352,1.606163026537437,64,1,test/algebra/1332.json|64
C128,2.1228581204013608e-07,3,0.012649552914888264,test/algebra/1332.json,0.009621314548671567,2.1095531322837404,64,1,test/algebra/1332.json|64
C64,-1.1562107715690217e-07,3,0.01490186149116094,test/algebra/1332.json,0.008029042561337345,1.7604342731781157,64,1,test/algebra/1332.json|64
C32,-4.109076456870753e-08,3,0.011370778804458321,test/algebra/1332.json,0.00671291237747666,1.4718617981996491,64,1,test/algebra/1332.json|64
C16,1.0754708767990451e-07,3,0.011285493058720586,test/algebra/1332.json,0.005522875690687445,1.210936369824025,64,1,test/algebra/1332.json|64
R128,2.74301473837113e-05,4,0.021850500073158963,test/algebra/1332.json,0.020081454180655354,4.444972614065194,64,1,test/algebra/1332.json|64
R64,9.419149904488222e-08,4,0.012003954596640765,test/algebra/1332.json,0.014141380073380663,3.130154150480597,64,1,test/algebra/1332.json|64
R32,1.0884112100484344e-07,4,0.010415169413785546,test/algebra/1332.json,0.00991953947429886,2.1956617738306714,64,1,test/algebra/1332.json|64
R16,1.1136128819089208e-07,4,0.01211941677889376,test/algebra/1332.json,0.007170289172885211,1.5871230599975807,64,1,test/algebra/1332.json|64
C128,6.2120266193232965e-06,4,0.008729335533533354,test/algebra/1332.json,0.009485448387505953,2.099576949721519,64,1,test/algebra/1332.json|64
C64,6.176907390909037e-06,4,0.007654146973866439,test/algebra/1332.json,0.00793456312886106,1.756292920576126,64,1,test/algebra/1332.json|64
C32,6.1406203712977e-06,4,0.007546501214815746,test/algebra/1332.json,0.006619577094297358,1.46522451193745,64,1,test/algebra/1332.json|64
C16,4.53512107867482e-08,4,0.007012386957698201,test/algebra/1332.json,0.005456911362651323,1.2078717679585258,64,1,test/algebra/1332.json|64
R128,1.0109265957680691e-07,5,0.01643520839372107,test/algebra/1332.json,0.01970759828465058,4.382060424446551,64,1,test/algebra/1332.json|64
R64,2.15811709836089e-07,5,0.0097590428946656,test/algebra/1332.json,0.01387377198212302,3.0848866646529873,64,1,test/algebra/1332.json|64
R32,2.85009638112399e-09,5,0.008487691768191868,test/algebra/1332.json,0.009747041805748117,2.1672923070317274,64,1,test/algebra/1332.json|64
R16,2.763265449789998e-10,5,0.008365338428173164,test/algebra/1332.json,0.007033034807981871,1.5638223922910064,64,1,test/algebra/1332.json|64
C128,1.332826826683231e-08,5,0.007372721020622252,test/algebra/1332.json,0.009423266099496081,2.095299531033785,64,1,test/algebra/1332.json|64
C64,1.0832047081521523e-07,5,0.006252885533893912,test/algebra/1332.json,0.00788228244387849,1.7526558768214806,64,1,test/algebra/1332.json|64
C32,-1.2454847153620108e-09,5,0.006408314283111127,test/algebra/1332.json,0.006574302004598859,1.4618213856708453,64,1,test/algebra/1332.json|64
C16,2.016275368887932e-09,5,0.0068344660483617495,test/algebra/1332.json,0.005422498632929324,1.2057134673524432,64,1,test/algebra/1332.json|64
R128,2.385971598073411e-08,6,0.016118190176937143,test/algebra/1332.json,0.019595946397493364,4.336859425385022,64,1,test/algebra/1332.json|64
R64,5.520325530028458e-08,6,0.008968448382282227,test/algebra/1332.json,0.013792341408271194,3.05243975571603,64,1,test/algebra/1332.json|64
R32,3.7274990205560243e-08,6,0.007833678915628426,test/algebra/1332.json,0.009696046565742618,2.145871910682092,64,1,test/algebra/1332.json|64
R16,3.5544085452698937e-09,6,0.008027589291413464,test/algebra/1332.json,0.006977088085288936,1.5441280360053151,64,1,test/algebra/1332.json|64
C128,-4.098232864180318e-09,6,0.007067962366722288,test/algebra/1332.json,0.009444343204981175,2.0901664055548186,64,1,test/algebra/1332.json|64
C64,2.5181854823586036e-08,6,0.005332670834094249,test/algebra/1332.json,0.007900424024092937,1.748475307005765,64,1,test/algebra/1332.json|64
C32,-1.2953584871411294e-09,6,0.00559055839195174,test/algebra/1332.json,0.006584331708254519,1.4572055081992752,64,1,test/algebra/1332.json|64
C16,2.961999534534243e-08,6,0.005784675266857319,test/algebra/1332.json,0.005434941647808631,1.202829270584835,64,1,test/algebra/1332.json|64
R128,5.800893632113002e-05,7,0.029050786663846927,test/algebra/1332.json,0.01947424717837621,4.309753231078948,64,1,test/algebra/1332.json|64
R64,2.239804780401755e-05,7,0.015246061352023875,test/algebra/1332.json,0.013704192523104413,3.0328098162047588,64,1,test/algebra/1332.json|64
R32,1.769087066350039e-05,7,0.01320256732043212,test/algebra/1332.json,0.009645111220064074,2.1345137947588153,64,1,test/algebra/1332.json|64
R16,2.7869737095898017e-05,7,0.013358866477390733,test/algebra/1332.json,0.0069395981664665245,1.5357695394524828,64,1,test/algebra/1332.json|64
C128,4.359223737537832e-08,7,0.007889831430576245,test/algebra/1332.json,0.009431291111809735,2.0871942812506363,64,1,test/algebra/1332.json|64
C64,1.814199790395321e-09,7,0.0076480006407924975,test/algebra/1332.json,0.007885716985763588,1.74515060569353,64,1,test/algebra/1332.json|64
C32,1.965512410606607e-06,7,0.007551740603876574,test/algebra/1332.json,0.006569435736479462,1.4538506486194562,64,1,test/algebra/1332.json|64
C16,6.658503792777992e-08,7,0.007412171493532012,test/algebra/1332.json,0.005427805472456489,1.2012018723148326,64,1,test/algebra/1332.json|64
