metric,future_KL_pearson,future_KL_spearman
state_norm,-0.03030013778909917,0.01287001287001287
readout_norm,-0.17720027941024302,-0.20205920205920205
cos_signed,0.014076289241560146,-0.2337194337194337
cos_abs,-0.13819654807142526,-0.4144144144144144
parallel_magnitude_proxy,-0.13891549867468986,-0.41595881595881595
tangential_magnitude_proxy,-0.17693066702417087,-0.20437580437580438
parallel_fraction,-0.13819654807142526,-0.4144144144144144
tangential_fraction,0.08011738872988212,0.4144144144144144
