unit_id,prompt_id,t0,token_offset,probe_token,selection_score,z_norm_original_R,z_norm_original_C,epsilon,direction_norm_R,direction_norm_C
test/algebra/1332.json|64,test/algebra/1332.json,64,1,65,0.00290582477656634,0.05064650359580047,0.018459589651097612,0.03811708787779006,0.999999995017799,1.0000000189322893
test/algebra/1332.json|64,test/algebra/1332.json,64,2,66,0.0025532936989511377,0.04567566741985267,0.02161080990389178,0.035730195206233745,1.0000000227067052,1.000000032598095
test/algebra/1332.json|64,test/algebra/1332.json,64,3,67,0.0022539476966105115,0.040776565026491476,0.024315004446860047,0.03357043116055044,0.9999999753383302,1.0000000075734579
test/algebra/1332.json|128,test/algebra/1332.json,128,1,129,0.0028189618986746365,0.04791552811592892,0.022870593871744175,0.03754305460850673,1.0000000354074157,1.0000000182166093
test/algebra/1332.json|128,test/algebra/1332.json,128,3,131,0.002505891799974808,0.04744578838542153,0.01596211027591926,0.03539697585934996,1.0000000241410134,0.9999999892304681
test/algebra/1332.json|128,test/algebra/1332.json,128,2,130,0.002234373320471709,0.0417714773407858,0.022125031101445432,0.03342434233064062,1.0000000271451297,1.0000000228903678
test/algebra/1332.json|256,test/algebra/1332.json,256,10,266,0.0034358589777525273,0.04573479323146526,0.03666316497286679,0.04144791296164698,0.9999999667997467,0.9999999786161522
test/algebra/1332.json|256,test/algebra/1332.json,256,1,257,0.0032097164107329243,0.05129348881076897,0.024056068181488904,0.040060681538966136,0.999999968613394,1.0000000102168096
test/algebra/1332.json|256,test/algebra/1332.json,256,3,259,0.0029163098160128733,0.04926598329551473,0.022117249059024888,0.03818579458393444,1.0000000064320702,1.0000000338995831
test/counting_and_probability/119.json|64,test/counting_and_probability/119.json,64,3,67,0.0021090460334022144,0.0421942218048899,0.018129911187922794,0.032473420157124,1.0000000338202077,0.9999999755890412
test/counting_and_probability/119.json|64,test/counting_and_probability/119.json,64,5,69,0.002020588117892495,0.043773249852336035,0.010222070008440476,0.03178512323314553,1.000000028271829,1.000000016058667
test/counting_and_probability/119.json|64,test/counting_and_probability/119.json,64,2,66,0.0015747453120390775,0.03597295161353762,0.01675386714311531,0.02806016136838024,0.9999999973688878,1.0000000241468379
test/counting_and_probability/119.json|128,test/counting_and_probability/119.json,128,1,129,0.00328963498137045,0.05080536480152562,0.026616721976125298,0.040556349572973466,0.9999999885823777,0.9999999839578314
test/counting_and_probability/119.json|128,test/counting_and_probability/119.json,128,2,130,0.0023449949284559046,0.043596710529295354,0.021078941137560304,0.03424175030905915,0.9999999666345796,0.9999999755717066
test/counting_and_probability/119.json|128,test/counting_and_probability/119.json,128,4,132,0.002220479681403236,0.04305845472188589,0.019142861812345056,0.03332026171418253,1.0000000242163694,0.9999999841062438
test/counting_and_probability/119.json|256,test/counting_and_probability/119.json,256,1,257,0.003485281235922846,0.051915658592431996,0.02810775033397173,0.04174494721473993,0.9999999643092324,1.0000000390968529
test/counting_and_probability/119.json|256,test/counting_and_probability/119.json,256,2,258,0.0026021385126853715,0.04608698992992943,0.021866135275442605,0.036070337624462094,0.9999999903752045,0.9999999979292491
test/counting_and_probability/119.json|256,test/counting_and_probability/119.json,256,3,259,0.0024626566935985936,0.043783463940341015,0.02335947300311913,0.035090288496951644,0.9999999586775764,1.0000000019101392
test/geometry/477.json|64,test/geometry/477.json,64,1,65,0.0038348122662069505,0.0539549239694109,0.03039207866635712,0.043788196275976875,0.9999999626988179,0.9999999517167357
test/geometry/477.json|64,test/geometry/477.json,64,2,66,0.002616874603252393,0.04636487642683935,0.0216141813903814,0.0361723278436182,0.9999999895399203,0.9999999602882992
test/geometry/477.json|64,test/geometry/477.json,64,6,70,0.0023793874501060047,0.0400383475992574,0.027862486816991838,0.03449193710206781,0.9999999778838542,1.0000000466523016
test/geometry/477.json|128,test/geometry/477.json,128,1,129,0.002920350045783014,0.050182939435826295,0.020050502122470747,0.03821223655966119,1.000000029829113,0.9999999780203335
test/geometry/477.json|128,test/geometry/477.json,128,2,130,0.0028396764345028948,0.0505948951808125,0.01672821018954183,0.03768074066750078,0.9999999653719381,1.0000000049998625
test/geometry/477.json|128,test/geometry/477.json,128,4,132,0.0025511011024718215,0.042478072508345135,0.02732607652861264,0.03571485056997874,0.9999999769069194,0.9999999929516413
test/geometry/477.json|256,test/geometry/477.json,256,1,257,0.0034105533309902875,0.0528581365802443,0.024830842278394976,0.04129499564711375,1.0000000304258545,0.9999999782519643
test/geometry/477.json|256,test/geometry/477.json,256,2,258,0.0033869499238754017,0.05210214977163357,0.025929055382903278,0.04115185247273445,0.9999999793298688,0.9999999794442499
test/geometry/477.json|256,test/geometry/477.json,256,3,259,0.002969174013677924,0.04928964627563186,0.023231547165460473,0.03853033878437824,1.0000000049146163,1.0000000439658057
