panel_index,document_id,original_16,Native_INT8,Hadamard,Dense_State,Dense_Functional,Hadamard_minus_Dense_State,Hadamard_minus_Dense_Functional
0,wikitext2raw-test-000,True,0.0010307059883058445,0.002471989768352836,0.003026660791402096,0.003584179194349847,-0.0005546710230492596,-0.0011121894259970106
1,wikitext2raw-test-001,True,0.0006759715202417111,0.0013107779697934096,0.0015596230129208773,0.0010902270565909887,-0.00024884504312746767,0.00022055091320242093
2,wikitext2raw-test-002,True,0.0015743952916588433,0.0017900621955995457,0.0016140572302923485,0.0013550990523315447,0.00017600496530719724,0.000434963143268001
3,wikitext2raw-test-003,True,0.0006745434923035159,0.0033344846626392594,0.0027275299564036943,0.002920844387281393,0.0006069547062355651,0.00041364027535786656
4,wikitext2raw-test-004,True,0.0011707955629934464,0.0009103652785590499,0.0007887600287591971,0.0005526841367880723,0.00012160524979985279,0.00035768114177097755
5,wikitext2raw-test-005,True,0.0016224099124697456,0.004403730768111799,0.0013858404418560823,0.003664461723262972,0.0030178903262557165,0.0007392690448488268
6,wikitext2raw-test-006,True,0.0015023915772409183,0.004109857116493172,0.0025442996043332955,0.004426040055762531,0.0015655575121598761,-0.00031618293926935926
7,wikitext2raw-test-007,True,0.0024633612972575353,0.001411787603888294,0.0019630200442020216,0.001339602972971831,-0.0005512324403137276,7.218463091646305e-05
8,wikitext2raw-test-008,True,0.000258743795769071,0.003656678073925796,0.002092062907614154,0.0007856908931232934,0.001564615166311642,0.0028709871808025025
9,wikitext2raw-test-009,True,0.001403841964270751,0.019682993760055993,0.015753983964783207,0.007328159662421509,0.003929009795272786,0.012354834097634484
10,wikitext2raw-test-010,True,0.001256696376991944,0.002576242863543434,0.004916107132169235,0.005114528743433766,-0.002339864268625801,-0.002538285879890332
11,wikitext2raw-test-011,True,0.0011774707039675857,0.0027717558142736436,0.0036387813711120914,0.0035834389805883596,-0.0008670255568384477,-0.000811683166314716
12,wikitext2raw-test-012,True,0.001171674642631212,0.0022727230667571106,0.0016335267803331977,0.0014528963741528476,0.0006391962864239129,0.0008198266926042631
13,wikitext2raw-test-013,True,0.0008674708009866162,0.00408123999166735,0.0016749606463314752,0.0028728885276726166,0.0024062793453358752,0.0012083514639947336
14,wikitext2raw-test-014,True,0.0005167591263928866,0.001688456700840894,0.0016928367444854202,0.002342895478114218,-4.380043644526153e-06,-0.0006544387772733241
15,wikitext2raw-test-015,True,0.000755747782695978,0.0009342549383863953,0.0015672292264087189,0.001563593955697296,-0.0006329742880223236,-0.0006293390173109008
16,wikitext2raw-test-016,False,0.0015866900131924033,0.0026366152563664005,0.004565860518560502,0.003221643582058843,-0.001929245262194102,-0.0005850283256924427
17,wikitext2raw-test-017,False,0.0011729432890716473,0.0011082992199027018,0.001349666098519272,0.0009026786521687649,-0.00024136687861657014,0.0002056205677339369
18,wikitext2raw-test-018,False,0.0009340871216896115,0.001114587337796129,0.001054976479123772,0.001655559966606033,5.961085867235705e-05,-0.0005409726288099041
19,wikitext2raw-test-019,False,0.0008680664893360491,0.005646677939721055,0.006760106065166704,0.006076224713374036,-0.0011134281254456483,-0.0004295467736529805
20,wikitext2raw-test-020,False,0.0011962604388483713,0.0009200898091117192,0.001339735091729438,0.0009319206083736081,-0.0004196452826177188,-1.1830799261888987e-05
21,wikitext2raw-test-021,False,0.0009649033470377904,0.002111686741596986,0.001243475119950945,0.002087896066023952,0.0008682116216460409,2.379067557303381e-05
22,wikitext2raw-test-022,False,0.0010199387636637008,0.007036628417820142,0.006313580537478872,0.0051329621976868465,0.0007230478803412696,0.0019036662201332953
23,wikitext2raw-test-023,False,0.003849496498354367,0.0049757744537049535,0.004196352272099214,0.014574535082120267,0.0007794221816057392,-0.009598760628415314
24,wikitext2raw-test-024,False,0.002008539088771477,0.0047527913282637176,0.005019912067636622,0.004757331117709657,-0.0002671207393729041,-4.539789445939628e-06
25,wikitext2raw-test-025,False,0.0008113783991160114,0.0025479884753589945,0.0020605918627291065,0.0025592469257361247,0.000487396612629888,-1.1258450377130223e-05
26,wikitext2raw-test-026,False,0.0013018573641802934,0.001663511458155974,0.002055455218342963,0.002257689086279894,-0.00039194376018698894,-0.00059417762812392
27,wikitext2raw-test-027,False,0.0005944901655941898,0.0005826169796110182,0.0012131430956889215,0.0005385337484567143,-0.0006305261160779033,4.4083231154303914e-05
28,wikitext2raw-test-028,False,0.0014092712483435156,0.0027863502689262003,0.003868215924747232,0.0030906078866247823,-0.0010818656558210316,-0.000304257617698582
29,wikitext2raw-test-029,False,0.0025777247341883286,0.0023076979569496177,0.0035554567588411286,0.0027988088607301285,-0.001247758801891511,-0.0004911109037805108
30,wikitext2raw-test-030,False,0.001244043359600785,0.004944214028100974,0.0038617442336344107,0.0033818940534879726,0.0010824697944665637,0.0015623199746130018
31,wikitext2raw-test-031,False,0.0006034633836782983,0.0005663837211746495,0.0015141553364564182,0.0017403711825842382,-0.0009477716152817687,-0.0011739874614095887
32,wikitext2raw-test-032,False,0.0003216384419521471,0.0007120750075031766,0.000784953062911094,0.0004228469283815251,-7.287805540791737e-05,0.00028922807912165155
33,wikitext2raw-test-033,False,0.0019097656617730993,0.007418045934420346,0.007979500214536901,0.008154298473155496,-0.0005614542801165552,-0.0007362525387351508
34,wikitext2raw-test-034,False,0.002765139326483917,0.0025809204941515777,0.0031765457588585917,0.0015819465605764124,-0.0005956252647070139,0.0009989739335751653
35,wikitext2raw-test-035,False,0.0010541239700084882,0.005151578164696107,0.005367048829289769,0.003082097476846942,-0.00021547066459366195,0.002069480687849165
36,wikitext2raw-test-036,False,0.0033200068184945073,0.002971667600531229,0.004116251146258474,0.0035159350487790975,-0.0011445835457272449,-0.0005442674482478687
37,wikitext2raw-test-037,False,0.0008233974161365355,0.0032015222277836947,0.005650986055431037,0.002562083491613707,-0.002449463827647342,0.0006394387361699878
38,wikitext2raw-test-038,False,0.00041743177846044314,0.003639155482533814,0.00260934170759943,0.0021952455970311734,0.001029813774934384,0.0014439098855026406
39,wikitext2raw-test-039,False,0.000851607107456295,0.0019873151592667377,0.0069145511970561966,0.0050852569443445034,-0.004927236037789459,-0.0030979417850777657
40,wikitext2raw-test-040,False,0.000643010025612064,0.0010982472939952094,0.0012223169793774498,0.0016303270228856103,-0.00012406968538224042,-0.0005320797288904009
41,wikitext2raw-test-041,False,0.0006959889517564466,0.0008413041604950467,0.001008491253942768,0.0010759535168655542,-0.00016718709344772141,-0.0002346493563705075
42,wikitext2raw-test-042,False,0.0007516548437305623,0.002097222140502537,0.001132770483294964,0.0017953756513756033,0.0009644516572075729,0.00030184648912693355
43,wikitext2raw-test-043,False,0.0002713411378763125,0.0009871074302726073,0.0007868700196249704,0.0018195840146247753,0.0002002374106476369,-0.000832476584352168
44,wikitext2raw-test-044,False,0.002229937088089949,0.010895974364559182,0.01318252536183848,0.010506043488505373,-0.0022865509972792974,0.0003899308760538095
45,wikitext2raw-test-045,False,0.0010737277539568265,0.0019165178297888936,0.0029466028181774364,0.0026311005406508296,-0.0010300849883885428,-0.000714582710861936
46,wikitext2raw-test-046,False,0.0026454819843226194,0.008291929810721332,0.008447153054340009,0.00975712751944487,-0.0001552232436186768,-0.0014651977087235379
47,wikitext2raw-test-047,False,0.0014853896370375763,0.0051688303144082175,0.006556842618497679,0.004000382019183049,-0.0013880123040894612,0.0011684482952251688
48,wikitext2raw-test-048,False,0.0006320269749589289,0.0020097685025618596,0.0019090047270605118,0.0007431384045694931,0.00010076377550134784,0.0012666300979923665
49,wikitext2raw-test-049,False,0.0011832013195100272,0.0017873181753052128,0.0017544330610575359,0.0017306784363541722,3.288511424767693e-05,5.663973895104059e-05
50,wikitext2raw-test-050,False,0.0011169849379751493,0.0046617044043922385,0.0033635647669429964,0.004458320254723115,0.001298139637449242,0.00020338414966912348
