condition,phase,problem_id,token,logit_relative_l2,logit_cosine,logit_top1_match,logit_top20_overlap,logit_nonfinite,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
r0,primary,60,0,0.06893026958097999,0.9979884028434753,1.0,1.0,0,0.04004437290132046,0.167219877243042,0.9992355108261108,0
r0,primary,60,1,0.08779756717451181,0.9962437152862549,1.0,0.85,0,0.03638795018196106,0.16816365718841553,0.9993785619735718,0
