condition,phase,problem_id,token,logit_max_abs,logit_relative_l2,logit_cosine,logit_nonfinite,logit_top1_match,logit_top20_overlap,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
hadamard,primary,test/algebra/1332.json,0,0.265625,0.026772046461701393,0.9996469020843506,0,1,1.0,0.01079759281128645,0.04152071475982666,0.9999420046806335,0
hadamard,primary,test/algebra/1332.json,1,0.296875,0.015034428797662258,0.9998878240585327,0,1,1.0,0.011021830141544342,0.04084134101867676,0.999940037727356,0
hadamard,primary,test/algebra/1332.json,2,0.28125,0.012942904606461525,0.9999176859855652,0,1,1.0,0.011888694483786821,0.0360892117023468,0.9999293684959412,0
hadamard,primary,test/algebra/1332.json,3,0.3203125,0.017046883702278137,0.999855637550354,0,1,0.95,0.012238428927958012,0.03163588047027588,0.9999255537986755,0
hadamard,primary,test/algebra/1332.json,4,0.5,0.024417901411652565,0.9997026324272156,0,1,1.0,0.012349242810159922,0.03166329860687256,0.9999239146709442,0
hadamard,primary,test/algebra/1332.json,5,0.3515625,0.021277887746691704,0.9997771978378296,0,1,0.95,0.012793551664799452,0.03233635425567627,0.9999183714389801,0
hadamard,primary,test/algebra/1332.json,6,0.40625,0.025108003988862038,0.9996919631958008,0,1,1.0,0.013062289915978909,0.03133368492126465,0.9999147653579712,0
hadamard,primary,test/algebra/1332.json,7,0.15625,0.010763170197606087,0.9999505877494812,0,1,0.95,0.012872666586190462,0.03065812587738037,0.9999173581600189,0
hadamard,primary,test/algebra/1332.json,8,0.296875,0.009884707629680634,0.9999512434005737,0,1,1.0,0.012293375562876463,0.033228397369384766,0.9999247789382935,0
hadamard,primary,test/algebra/1332.json,9,0.3125,0.011743132956326008,0.9999326467514038,0,1,1.0,0.01225883699953556,0.03386569023132324,0.9999251067638397,0
hadamard,primary,test/algebra/1332.json,10,0.25,0.011753762140870094,0.9999346137046814,0,1,1.0,0.012122632004320621,0.03276467323303223,0.9999268651008606,0
hadamard,primary,test/algebra/1332.json,11,0.1484375,0.008321193978190422,0.9999654293060303,0,1,1.0,0.012228832580149174,0.03165149688720703,0.9999251663684845,0
hadamard,primary,test/algebra/1332.json,12,0.203125,0.016007529571652412,0.9998720288276672,0,1,1.0,0.012087863869965076,0.03070354461669922,0.9999271929264069,0
hadamard,primary,test/algebra/1332.json,13,0.25,0.011202949099242687,0.9999373555183411,0,1,1.0,0.011018603574484587,0.030793428421020508,0.9999397099018097,0
hadamard,primary,test/algebra/1332.json,14,0.25,0.008181995712220669,0.9999673962593079,0,1,0.95,0.01116725243628025,0.03229653835296631,0.9999378323554993,0
hadamard,primary,test/algebra/1332.json,15,0.25,0.01111653447151184,0.9999408721923828,0,1,1.0,0.011194232385605574,0.03190600872039795,0.999937504529953,0
hadamard,primary,test/algebra/1332.json,16,0.15625,0.012310175225138664,0.9999250173568726,0,1,1.0,0.011030207853764296,0.03150653839111328,0.9999392330646515,0
hadamard,primary,test/algebra/1332.json,17,0.3125,0.022540481761097908,0.9997459650039673,0,1,1.0,0.010776958428323269,0.03136730194091797,0.9999420940876007,0
hadamard,primary,test/algebra/1332.json,18,0.1875,0.00831976905465126,0.9999694228172302,0,1,1.0,0.010552018880844116,0.03093123435974121,0.9999445974826813,0
hadamard,primary,test/algebra/1332.json,19,0.1875,0.011382720433175564,0.9999385476112366,0,1,1.0,0.010491627268493176,0.030653953552246094,0.9999452233314514,0
hadamard,primary,test/algebra/1332.json,20,0.171875,0.009238538332283497,0.9999595880508423,0,1,1.0,0.010302327573299408,0.03075098991394043,0.9999470412731171,0
hadamard,primary,test/algebra/1332.json,21,0.21875,0.010267858393490314,0.9999500513076782,0,1,1.0,0.010130899492651224,0.030682802200317383,0.9999489486217499,0
hadamard,primary,test/algebra/1332.json,22,0.1953125,0.0185141172260046,0.9998289346694946,0,1,1.0,0.010082046501338482,0.030463457107543945,0.9999493658542633,0
hadamard,primary,test/algebra/1332.json,23,0.1875,0.009250329807400703,0.9999572038650513,0,1,0.95,0.01002868078649044,0.031105637550354004,0.999949723482132,0
hadamard,primary,test/algebra/1332.json,24,0.1875,0.00959405954927206,0.9999539852142334,0,1,1.0,0.010035826824605465,0.031203150749206543,0.9999499917030334,0
hadamard,primary,test/algebra/1332.json,25,0.1875,0.009477474726736546,0.9999558329582214,0,1,1.0,0.009839842561632395,0.03143453598022461,0.9999517798423767,0
hadamard,primary,test/algebra/1332.json,26,0.1875,0.011301618069410324,0.9999362826347351,0,1,1.0,0.00977133959531784,0.031264305114746094,0.9999523162841797,0
hadamard,primary,test/algebra/1332.json,27,0.1875,0.011482884176075459,0.999935507774353,0,1,1.0,0.00960983196273446,0.031212210655212402,0.9999538958072662,0
hadamard,primary,test/algebra/1332.json,28,0.15625,0.007338866125792265,0.9999731779098511,0,1,1.0,0.009603790007531643,0.03116762638092041,0.999953955411911,0
hadamard,primary,test/algebra/1332.json,29,0.125,0.007667263969779015,0.9999722838401794,0,1,1.0,0.009546212386339903,0.031001925468444824,0.9999546408653259,0
hadamard,primary,test/algebra/1332.json,30,0.125,0.008627594448626041,0.999963104724884,0,1,1.0,0.009690587874501944,0.03105747699737549,0.9999539852142334,0
hadamard,primary,test/algebra/1332.json,31,0.25,0.012637096457183361,0.9999200701713562,0,1,1.0,0.009487641043961048,0.031154870986938477,0.9999554753303528,0
hadamard,primary,test/algebra/1332.json,32,0.1875,0.009759197942912579,0.999952495098114,0,1,1.0,0.0095028942450881,0.03117501735687256,0.9999549090862274,0
hadamard,primary,test/algebra/1332.json,33,0.15625,0.00951710157096386,0.9999583959579468,0,1,0.95,0.009492681827396154,0.03141903877258301,0.9999550879001617,0
hadamard,primary,test/algebra/1332.json,34,0.25,0.008747764863073826,0.9999709725379944,0,1,0.95,0.009390908759087324,0.032289743423461914,0.9999560117721558,0
hadamard,primary,test/algebra/1332.json,35,0.1875,0.00836119893938303,0.999965250492096,0,1,1.0,0.009514677803963423,0.032146453857421875,0.9999547302722931,0
hadamard,primary,test/algebra/1332.json,36,0.15625,0.011350009590387344,0.9999368190765381,0,1,1.0,0.009791065938770771,0.03133976459503174,0.9999524354934692,0
hadamard,primary,test/algebra/1332.json,37,0.15625,0.008651199750602245,0.9999635815620422,0,1,1.0,0.009781294502317905,0.0334932804107666,0.9999523460865021,0
hadamard,primary,test/algebra/1332.json,38,0.125,0.0070127020590007305,0.9999755024909973,0,1,1.0,0.009665429126471281,0.03128790855407715,0.9999536275863647,0
hadamard,primary,test/algebra/1332.json,39,0.1875,0.014336777850985527,0.9998975992202759,0,1,1.0,0.009525083936750889,0.031165599822998047,0.9999545812606812,0
hadamard,primary,test/algebra/1332.json,40,0.1328125,0.009108190424740314,0.9999586939811707,0,1,1.0,0.009852256625890732,0.030469775199890137,0.9999518394470215,0
hadamard,primary,test/algebra/1332.json,41,0.171875,0.008470604196190834,0.9999664425849915,0,1,1.0,0.009857992175966501,0.030663013458251953,0.9999516904354095,0
hadamard,primary,test/algebra/1332.json,42,0.203125,0.008401546627283096,0.9999688863754272,0,1,1.0,0.009960912633687258,0.03062593936920166,0.9999504089355469,0
hadamard,primary,test/algebra/1332.json,43,0.25,0.008429083041846752,0.9999648928642273,0,1,1.0,0.0099025322124362,0.030584216117858887,0.9999513924121857,0
hadamard,primary,test/algebra/1332.json,44,0.15625,0.006505963392555714,0.9999799728393555,0,1,1.0,0.009879224468022585,0.030597805976867676,0.9999513328075409,0
hadamard,primary,test/algebra/1332.json,45,0.125,0.00692799361422658,0.9999776482582092,0,1,1.0,0.009779931511729956,0.030547261238098145,0.9999523758888245,0
hadamard,primary,test/algebra/1332.json,46,0.15625,0.009495017118752003,0.9999603629112244,0,1,1.0,0.009610325563699007,0.03055429458618164,0.9999539852142334,0
hadamard,primary,test/algebra/1332.json,47,0.2265625,0.009998716413974762,0.9999518990516663,0,1,1.0,0.009626006707549095,0.03060019016265869,0.9999538064002991,0
hadamard,primary,test/algebra/1332.json,48,0.17236328125,0.01755804941058159,0.9998793005943298,0,1,1.0,0.009430526290088892,0.030530929565429688,0.9999557137489319,0
hadamard,primary,test/algebra/1332.json,49,0.25,0.010231546126306057,0.9999480247497559,0,1,1.0,0.009409785736352205,0.03051018714904785,0.9999558925628662,0
hadamard,primary,test/algebra/1332.json,50,0.15625,0.009062307886779308,0.9999593496322632,0,1,1.0,0.009423408657312393,0.03045666217803955,0.9999556541442871,0
hadamard,primary,test/algebra/1332.json,51,0.25,0.008008724078536034,0.999974250793457,0,1,0.95,0.009299281518906355,0.030284762382507324,0.9999569058418274,0
hadamard,primary,test/algebra/1332.json,52,0.125,0.008694961667060852,0.9999621510505676,0,1,0.95,0.009217015467584133,0.030385255813598633,0.9999576807022095,0
hadamard,primary,test/algebra/1332.json,53,0.203125,0.008024560287594795,0.9999685287475586,0,1,1.0,0.009209816344082355,0.030542731285095215,0.9999576210975647,0
hadamard,primary,test/algebra/1332.json,54,0.125,0.007987850345671177,0.999970018863678,0,1,1.0,0.009244511369615793,0.03049445152282715,0.999957263469696,0
hadamard,primary,test/algebra/1332.json,55,0.15625,0.012100727297365665,0.9999290704727173,0,1,1.0,0.009283877909183502,0.03052544593811035,0.9999569952487946,0
