condition,layer_id,input_rel_l2,rotation_rel_l2,core_rel_l2,post_norm_rel_l2,post_gate_rel_l2,out_proj_rel_l2
hadamard,0,0.0,1.9991796307294862e-07,0.0023597548715770245,,,
hadamard,1,,0.0024108218494802713,0.002146786544471979,,,
hadamard,10,,0.01401826087385416,0.010218508541584015,,,
hadamard,12,,0.01615937612950802,0.008739416487514973,,,
hadamard,13,,0.015286467969417572,0.007839488796889782,,,
hadamard,14,,0.01733550801873207,0.009871172718703747,,,
hadamard,16,,0.020098654553294182,0.006416718941181898,0.032524216920137405,0.032524216920137405,0.03074958361685276
hadamard,17,,0.01932591386139393,0.00894723180681467,,,
hadamard,18,,0.020287279039621353,0.009024906903505325,,,
hadamard,2,,0.00567560875788331,0.005373887252062559,,,
hadamard,20,,0.016527727246284485,0.005693818908184767,,,
hadamard,21,,0.014374743215739727,0.009236674755811691,,,
hadamard,22,,0.01623702049255371,0.010258886963129044,,,
hadamard,24,,0.01370314136147499,0.007469050586223602,,,
hadamard,25,,0.012603447772562504,0.012667568400502205,,,
hadamard,26,,0.015014338307082653,0.01447400450706482,,,
hadamard,28,,0.017625777050852776,0.011067756451666355,,,
hadamard,29,,0.02007964439690113,0.016841836273670197,,,
hadamard,30,,0.020602954551577568,0.016283927485346794,,,
hadamard,4,,0.007569433655589819,0.0075852335430681705,,,
hadamard,5,,0.007296574302017689,0.007347720675170422,,,
hadamard,6,,0.007967192679643631,0.0063547720201313496,,,
hadamard,8,,0.010698867030441761,0.004036406055092812,,,
hadamard,9,,0.012424101121723652,0.007365998812019825,,,
r0,0,0.0,2.431577286188258e-07,0.0023597492836415768,,,
r0,1,,0.0027600047178566456,0.0027622212655842304,,,
r0,10,,0.014632066711783409,0.011346730403602123,,,
r0,12,,0.01576637290418148,0.010375959798693657,,,
r0,13,,0.015211278572678566,0.008233959786593914,,,
r0,14,,0.016696175560355186,0.009983375668525696,,,
r0,16,,0.019466795027256012,0.010123763233423233,0.07701624929904938,0.07701624929904938,0.050938356667757034
r0,17,,0.01805267110466957,0.011820112355053425,,,
r0,18,,0.019600655883550644,0.00991138070821762,,,
r0,2,,0.005625564139336348,0.004610974807292223,,,
r0,20,,0.01561584323644638,0.007218201644718647,,,
r0,21,,0.01443598885089159,0.007895834743976593,,,
r0,22,,0.01595347747206688,0.010104108601808548,,,
r0,24,,0.015944981947541237,0.010625823400914669,,,
r0,25,,0.0138559490442276,0.015082160010933876,,,
r0,26,,0.015726469457149506,0.015616419725120068,,,
r0,28,,0.01832614280283451,0.011428451165556908,,,
r0,29,,0.020506050437688828,0.01779901795089245,,,
r0,30,,0.020191729068756104,0.01631125807762146,,,
r0,4,,0.009537262842059135,0.0048808809369802475,,,
r0,5,,0.007585042156279087,0.0048045008443295956,,,
r0,6,,0.008457127958536148,0.006890782155096531,,,
r0,8,,0.010698607191443443,0.006234541069716215,,,
r0,9,,0.012345880270004272,0.007193629164248705,,,
r1,0,0.0,2.4337111881322926e-07,0.0023597003892064095,,,
r1,1,,0.00254161492921412,0.0024924813769757748,,,
r1,10,,0.01677609421312809,0.010030144825577736,,,
r1,12,,0.01827874220907688,0.01066491100937128,,,
r1,13,,0.01728047989308834,0.01030326634645462,,,
r1,14,,0.01846752129495144,0.012786660343408585,,,
r1,16,,0.02471553534269333,0.009232554584741592,0.04014689102768898,0.04014689102768898,0.03289052098989487
r1,17,,0.02061687968671322,0.009891586378216743,,,
r1,18,,0.02165435440838337,0.009703507646918297,,,
r1,2,,0.005948622245341539,0.006354046519845724,,,
r1,20,,0.018151436001062393,0.00947405956685543,,,
r1,21,,0.01584605872631073,0.007594692520797253,,,
r1,22,,0.017042644321918488,0.011969191953539848,,,
r1,24,,0.015160412527620792,0.009320552460849285,,,
r1,25,,0.014619057066738605,0.015540318563580513,,,
r1,26,,0.01525275781750679,0.016434265300631523,,,
r1,28,,0.018995534628629684,0.0116436667740345,,,
r1,29,,0.021543744951486588,0.015593980439007282,,,
r1,30,,0.02085481770336628,0.016033541411161423,,,
r1,4,,0.010729175992310047,0.005483387038111687,,,
r1,5,,0.010585344396531582,0.007091567851603031,,,
r1,6,,0.0105117317289114,0.007053205743432045,,,
r1,8,,0.012754617258906364,0.005906903184950352,,,
r1,9,,0.014367995783686638,0.008523808792233467,,,
r2,0,0.0,2.3684724226313847e-07,0.002359748585149646,,,
r2,1,,0.0027805338613688946,0.00226889387704432,,,
r2,10,,0.013772689737379551,0.007596313953399658,,,
r2,12,,0.015406055375933647,0.009796802885830402,,,
r2,13,,0.014776105061173439,0.009070362895727158,,,
r2,14,,0.016157804057002068,0.013871658593416214,,,
r2,16,,0.020632172003388405,0.008896593004465103,0.038915250450372696,0.038915250450372696,0.030525686219334602
r2,17,,0.018117940053343773,0.009945101104676723,,,
r2,18,,0.01939980871975422,0.007489182986319065,,,
r2,2,,0.005683677736669779,0.003568424843251705,,,
r2,20,,0.014773506671190262,0.007482584565877914,,,
r2,21,,0.013321534730494022,0.0076544382609426975,,,
r2,22,,0.014467863366007805,0.010705709457397461,,,
r2,24,,0.0130751458927989,0.008991667069494724,,,
r2,25,,0.012291718274354935,0.014447045512497425,,,
r2,26,,0.013894034549593925,0.014567330479621887,,,
r2,28,,0.01911413110792637,0.011489177122712135,,,
r2,29,,0.02096366323530674,0.01581140048801899,,,
r2,30,,0.02103625051677227,0.016208842396736145,,,
r2,4,,0.009583106264472008,0.006678456906229258,,,
r2,5,,0.007928013801574707,0.003295767353847623,,,
r2,6,,0.008343605324625969,0.007505855523049831,,,
r2,8,,0.009570080786943436,0.004652748815715313,,,
r2,9,,0.01157393679022789,0.013274017721414566,,,
