condition,phase,problem_id,token,logit_relative_l2,logit_cosine,logit_top1_match,logit_top20_overlap,logit_nonfinite,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
identity,primary,60,0,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000027060508728,0
identity,primary,60,1,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.000029742717743,0
identity,primary,60,2,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.000023603439331,0
identity,primary,60,3,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000244975090027,0
identity,primary,60,4,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000215768814087,0
identity,primary,60,5,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000020980834961,0
identity,primary,60,6,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000210404396057,0
identity,primary,60,7,0.0,0.9999998211860657,1.0,1.0,0,0.0,0.0,1.0000215768814087,0
identity,primary,60,8,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.000023603439331,0
identity,primary,60,9,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000288486480713,0
identity,primary,60,10,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000029742717743,0
identity,primary,60,11,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000030517578125,0
identity,primary,60,12,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000295639038086,0
identity,primary,60,13,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000274777412415,0
identity,primary,60,14,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000261068344116,0
identity,primary,60,15,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000259280204773,0
identity,primary,60,16,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000317692756653,0
identity,primary,60,17,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000256299972534,0
identity,primary,60,18,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000025749206543,0
identity,primary,60,19,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000231266021729,0
