unit_id,NATIVE_R128_AUC,BUGGY_HADAMARD_R128_AUC,CORRECTED_HADAMARD_R128_AUC,CORRECTED_MINUS_NATIVE,BUGGY_MINUS_NATIVE,BUGGY_TO_CORRECTED_RESCUE,BUGGY_TO_CORRECTED_CLOSURE
60|64,0.0057616686266470755,0.2770687112419213,0.0028859557527069653,-0.0028757128739401103,0.2713070426152742,0.27418275548921434,1.0105994774231033
61|64,0.0012247666335063745,0.12625605913703097,0.0009222024040093646,-0.0003025642294970099,0.1250312925035246,0.1253338567330216,1.0024199080281126
64|64,0.0017618829706947947,0.1972146196575082,0.0006620470608938028,-0.0010998359098009919,0.1954527366868134,0.1965525725966144,1.0056271195146156
68|64,0.004429753923507418,0.34884572980310935,0.0013685545176686797,-0.003061199405838738,0.34441597587960193,0.34747717528544064,1.00888808771722
69|64,0.002512092891553852,0.2849652520234258,0.0034330339339130878,0.0009209410423592357,0.28245315913187197,0.28153221808951273,0.9967394910852245
76|64,0.0030359375424990898,0.3556983834745253,0.0011109947264873465,-0.0019249428160117432,0.3526624459320262,0.35458738874803797,1.0054583152734593
60|128,0.003186662147317694,0.1403165126568578,0.0018229510243805873,-0.0013637111229371065,0.1371298505095401,0.1384935616324772,1.0099446700835737
61|128,0.0011613979783502426,0.04882147856349661,0.0005090840080898273,-0.0006523139702604153,0.04766008058514637,0.048312394555406785,1.0136867995445653
64|128,0.010768520616625366,0.13745168403760033,0.002044364797320175,-0.00872415581930519,0.12668316342097496,0.13540731924028016,1.0688659454235878
68|128,0.004030585552838927,0.11704540600882751,0.002918169544519511,-0.001112416008319416,0.11301482045598858,0.114127236464308,1.0098430984787767
69|128,0.004804908599852024,0.10723418429695819,0.0016339823155936545,-0.0031709262842583696,0.10242927569710616,0.10560020198136454,1.03095722645354
76|128,0.0018501769073896168,0.1260150733289449,0.0005045757675787854,-0.0013456011398108314,0.12416489642155529,0.12551049756136612,1.010837210657604
60|256,0.001610711491240059,0.08186611808178793,0.0008612600072872529,-0.000749451483952806,0.08025540659054786,0.08100485807450067,1.0093383301484853
61|256,0.003779483624013591,0.05317475693176732,0.001030882557321422,-0.002748601066692169,0.04939527330775373,0.0521438743744459,1.0556450219135658
64|256,0.0036026055211660774,0.04770685779666195,0.0004275168693557152,-0.003175088651810362,0.04410425227549587,0.047279340927306235,1.0719905334956203
68|256,0.00554108795635877,0.11748820905384783,0.002751563551806044,-0.002789524404552726,0.11194712109748906,0.11473664550204178,1.0249182326100066
69|256,0.005165574014966201,0.09716848447054005,0.0035531797014644873,-0.0016123943135017138,0.09200291045557385,0.09361530476907556,1.0175254707106551
76|256,0.00803690639422195,0.0810989498400913,0.002217274467032071,-0.005819631927189879,0.07306204344586936,0.07888167537305923,1.0796532871465865
