condition,phase,problem_id,token,logit_max_abs,logit_relative_l2,logit_cosine,logit_nonfinite,logit_top1_match,logit_top20_overlap,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
r0,primary,test/algebra/1332.json,0,0.30859375,0.03034376911818981,0.9995754361152649,0,1,1.0,0.010868121404200792,0.03474241495132446,0.9999409019947052,0
r0,primary,test/algebra/1332.json,1,0.359375,0.016325660049915314,0.9998670816421509,0,1,1.0,0.011331437155604362,0.042990148067474365,0.9999361634254456,0
