condition,phase,problem_id,token,logit_relative_l2,logit_cosine,logit_top1_match,logit_top20_overlap,logit_nonfinite,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
r1,primary,60,0,0.06654482417383398,0.9980708360671997,1.0,1.0,0,0.03760330751538277,0.16122400760650635,0.9993249177932739,0
r1,primary,60,1,0.074722443187826,0.99721759557724,1.0,0.95,0,0.034101434983313084,0.16201460361480713,0.9994555413722992,0
