condition,phase,problem_id,token,logit_relative_l2,logit_cosine,logit_top1_match,logit_top20_overlap,logit_nonfinite,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
r2,primary,60,0,0.046355186703491265,0.9991860389709473,1.0,0.95,0,0.030797908082604408,0.14632275700569153,0.9995964467525482,0
r2,primary,60,1,0.017387662447482414,0.9998633861541748,1.0,1.0,0,0.02862436417490244,0.147029846906662,0.9996545314788818,0
r2,primary,60,2,0.015928314148467085,0.9998735189437866,1.0,1.0,0,0.027713099494576454,0.14875423908233643,0.9996646046638489,0
r2,primary,60,3,0.010685096662301352,0.9999431371688843,1.0,0.95,0,0.027234572917222977,0.1530536413192749,0.9996760189533234,0
r2,primary,60,4,0.018836243108677042,0.9998283982276917,1.0,0.95,0,0.027175279334187508,0.15449190139770508,0.9996825158596039,0
r2,primary,60,5,0.021048913481105973,0.9997803568840027,1.0,1.0,0,0.02713286504149437,0.1552410125732422,0.9996867179870605,0
r2,primary,60,6,0.050259317657078584,0.9987362623214722,1.0,1.0,0,0.026920197531580925,0.15641751885414124,0.9996934533119202,0
r2,primary,60,7,0.021874683025664206,0.9997947812080383,1.0,0.95,0,0.027114479802548885,0.15726786851882935,0.9996880888938904,0
r2,primary,60,8,0.018270188503744456,0.999836802482605,1.0,1.0,0,0.02802625298500061,0.15806981921195984,0.9996636509895325,0
r2,primary,60,9,0.029513171960225914,0.999659538269043,1.0,1.0,0,0.026838181540369987,0.1596800982952118,0.9996999204158783,0
r2,primary,60,10,0.020479293514679465,0.9997938871383667,1.0,0.9,0,0.026391735300421715,0.15874674916267395,0.9997086822986603,0
r2,primary,60,11,0.01618552879360437,0.9998718500137329,1.0,1.0,0,0.025860892608761787,0.1560414731502533,0.9997228384017944,0
r2,primary,60,12,0.015968731997421368,0.9998756051063538,1.0,1.0,0,0.025356694124639034,0.15659967064857483,0.9997363984584808,0
r2,primary,60,13,0.03347004052887069,0.9994397163391113,1.0,0.9,0,0.025325965136289597,0.15703627467155457,0.9997432827949524,0
r2,primary,60,14,0.010434032279429998,0.9999458193778992,1.0,1.0,0,0.025319204665720463,0.15674668550491333,0.9997437000274658,0
r2,primary,60,15,0.016024827030624075,0.9998735189437866,1.0,1.0,0,0.02474343404173851,0.15610605478286743,0.9997505843639374,0
r2,primary,60,16,0.01988181189871798,0.9998089075088501,1.0,0.9,0,0.024768241681158543,0.15687918663024902,0.9997499585151672,0
r2,primary,60,17,0.013263049487223516,0.9999135732650757,1.0,0.95,0,0.024634470231831074,0.1572691798210144,0.9997556209564209,0
r2,primary,60,18,0.034206227086610634,0.9994375705718994,1.0,1.0,0,0.024719977751374245,0.1579425036907196,0.9997571110725403,0
r2,primary,60,19,0.014586298944501187,0.9998977184295654,1.0,0.95,0,0.02472637314349413,0.15822303295135498,0.9997580647468567,0
r2,primary,60,20,0.011851318872961761,0.9999347925186157,1.0,1.0,0,0.024232338182628155,0.15861272811889648,0.999766618013382,0
r2,primary,60,21,0.026068688254158444,0.9996708631515503,1.0,1.0,0,0.02409257646650076,0.15862920880317688,0.9997638463973999,0
r2,primary,60,22,0.02327381728229946,0.9997292160987854,1.0,0.95,0,0.024144220165908337,0.1586708128452301,0.9997569918632507,0
r2,primary,60,23,0.02511908607192828,0.9996926188468933,1.0,0.95,0,0.023914731107652187,0.1597767174243927,0.9997656047344208,0
r2,primary,60,24,0.02522542523903498,0.9996843338012695,1.0,0.9,0,0.023754100315272808,0.1603943109512329,0.9997727274894714,0
r2,primary,60,25,0.023809064573450858,0.9997242093086243,1.0,1.0,0,0.023453577421605587,0.16090252995491028,0.9997746646404266,0
r2,primary,60,26,0.049345931639819936,0.9990024566650391,1.0,1.0,0,0.02360405120998621,0.16087406873703003,0.9997675716876984,0
r2,primary,60,27,0.03125779532525844,0.9995115399360657,1.0,0.95,0,0.024031016044318676,0.1594335436820984,0.9997556507587433,0
r2,primary,60,28,0.018434287473668223,0.9998311996459961,1.0,1.0,0,0.024324927479028702,0.15896794199943542,0.9997590482234955,0
r2,primary,60,29,0.039780672584234754,0.9992979764938354,1.0,0.9,0,0.024122867733240128,0.15913501381874084,0.999763160943985,0
r2,primary,60,30,0.015722387210083753,0.9998778700828552,1.0,0.95,0,0.02408006228506565,0.15862470865249634,0.9997449815273285,0
r2,primary,60,31,0.016201566703406087,0.9998713731765747,1.0,0.95,0,0.023810249753296375,0.15937957167625427,0.9997706711292267,0
r2,primary,60,32,0.025279184733390716,0.9996829032897949,1.0,0.95,0,0.023890853859484196,0.16036733984947205,0.9997671842575073,0
r2,primary,60,33,0.02482563931000245,0.9997281432151794,1.0,1.0,0,0.024090196006000042,0.16053175926208496,0.9997665584087372,0
r2,primary,60,34,0.022102511184792895,0.9997620582580566,0.0,0.95,0,0.024342671036720276,0.16034391522407532,0.9997551739215851,0
r2,primary,60,35,0.022112749582808573,0.9997696876525879,1.0,1.0,0,0.02381521835923195,0.1594984531402588,0.9997656643390656,0
r2,primary,60,36,0.019694888545211783,0.9998087286949158,1.0,1.0,0,0.023729190230369568,0.15927192568778992,0.9997675716876984,0
r2,primary,60,37,0.020492876173934235,0.9997900128364563,1.0,1.0,0,0.023527290672063828,0.15977460145950317,0.9997705817222595,0
r2,primary,60,38,0.023009793129352776,0.999755322933197,1.0,0.9,0,0.023728941567242146,0.16021710634231567,0.9997657239437103,0
r2,primary,60,39,0.021482779887370185,0.9997696876525879,1.0,1.0,0,0.023602486588060856,0.1595587134361267,0.9997685253620148,0
r2,primary,60,40,0.022767513653200934,0.9997498989105225,1.0,0.95,0,0.023376794531941414,0.15958383679389954,0.9997738599777222,0
r2,primary,60,41,0.023317300251738424,0.9997282028198242,1.0,1.0,0,0.023603751324117184,0.1604217290878296,0.9997703433036804,0
r2,primary,60,42,0.02621400542916278,0.9996572732925415,1.0,0.9,0,0.023365655913949013,0.16108623147010803,0.9997749924659729,0
r2,primary,60,43,0.021811916340248347,0.999762773513794,1.0,0.95,0,0.023569760844111443,0.16067931056022644,0.9997700452804565,0
r2,primary,60,44,0.016424083340345962,0.999872624874115,1.0,1.0,0,0.023442916572093964,0.16113001108169556,0.999773770570755,0
r2,primary,60,45,0.018156536726642962,0.9998354911804199,1.0,0.95,0,0.023072303272783756,0.16115620732307434,0.9997856020927429,0
r2,primary,60,46,0.012685266752260855,0.9999206066131592,1.0,0.95,0,0.022713779471814632,0.16127189993858337,0.9997887015342712,0
r2,primary,60,47,0.016179954035811284,0.9998705983161926,1.0,0.9,0,0.022573603317141533,0.16132155060768127,0.9997923374176025,0
r2,primary,60,48,0.01625925769557884,0.9998680949211121,1.0,1.0,0,0.022591660730540752,0.16143372654914856,0.9997936189174652,0
r2,primary,60,49,0.02626838320876818,0.9996991753578186,1.0,1.0,0,0.022440683096647263,0.16205433011054993,0.9997994899749756,0
r2,primary,60,50,0.018825397645311617,0.9998228549957275,1.0,1.0,0,0.022481261752545834,0.16288188099861145,0.999797523021698,0
r2,primary,60,51,0.017070345727516634,0.999855637550354,1.0,0.95,0,0.022162227891385555,0.16312795877456665,0.9998047649860382,0
r2,primary,60,52,0.015233142780447627,0.9998856782913208,1.0,0.95,0,0.022254387848079205,0.16301357746124268,0.9998035132884979,0
r2,primary,60,53,0.013582636456685912,0.9999116063117981,1.0,0.9,0,0.021938242949545383,0.16319411993026733,0.9998071789741516,0
r2,primary,60,54,0.01761028213787071,0.9998557567596436,1.0,1.0,0,0.02212940063327551,0.16338592767715454,0.9998061954975128,0
r2,primary,60,55,0.024891703784602103,0.9997146129608154,1.0,0.95,0,0.022756164893507957,0.16288700699806213,0.9998000860214233,0
r2,primary,60,56,0.03937180274865157,0.9992295503616333,1.0,1.0,0,0.02460554428398609,0.1631196141242981,0.9997418224811554,0
r2,primary,60,57,0.026183002490520614,0.9997082948684692,1.0,1.0,0,0.024717537686228752,0.16278469562530518,0.9997266232967377,0
r2,primary,60,58,0.030197150602801794,0.9996638894081116,1.0,1.0,0,0.023520363494753838,0.1630931794643402,0.9997548162937164,0
r2,primary,60,59,0.014967226536367095,0.9999004006385803,1.0,0.95,0,0.02305204328149557,0.1629491150379181,0.9997696280479431,0
r2,primary,60,60,0.020112290269710918,0.9998010396957397,1.0,1.0,0,0.022799828089773655,0.16289925575256348,0.9997810423374176,0
r2,primary,60,61,0.015673466880781976,0.9998779296875,1.0,1.0,0,0.02252902928739786,0.16292846202850342,0.9997895956039429,0
r2,primary,60,62,0.020638999675703065,0.9997895359992981,1.0,1.0,0,0.022485355846583843,0.16294431686401367,0.999795138835907,0
r2,primary,60,63,0.030572486809637773,0.9995325207710266,1.0,0.95,0,0.023160023614764214,0.16231444478034973,0.9997721314430237,0
r2,primary,60,64,0.04124168287232402,0.9991751313209534,1.0,0.95,0,0.0229622358456254,0.16275158524513245,0.9997707009315491,0
r2,primary,60,65,0.024470720226749565,0.9997079372406006,1.0,1.0,0,0.024293173104524612,0.16296163201332092,0.9997538924217224,0
r2,primary,60,66,0.020462681046586224,0.9997960329055786,1.0,1.0,0,0.0234115244820714,0.1629427671432495,0.9997749924659729,0
r2,primary,60,67,0.030602191158354036,0.999536395072937,1.0,0.95,0,0.022517495788633823,0.16287192702293396,0.9997851848602295,0
