rotation,status,read_max_abs_error,read_relative_l2,read_cosine,next_state_relation_max_abs_error,next_state_relation_relative_l2,next_state_relation_cosine
IDENTITY,PASS,0.0,0.0,1.000000945568013,0.0,0.0,1.0001022675257438
HADAMARD,PASS,0.000701904296875,7.073406089303987e-07,1.0000010118921836,0.003662109375,5.577005667101039e-07,1.0001005062651636
RANDOM_ORTHOGONAL_0,PASS,0.00115966796875,1.0915882968294817e-06,1.0000011778060807,0.00439453125,6.820870442180821e-07,1.000101263841654
