condition,phase,problem_id,token,logit_max_abs,logit_relative_l2,logit_cosine,logit_nonfinite,logit_top1_match,logit_top20_overlap,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
r2,primary,test/algebra/1332.json,0,0.296875,0.02581849694252014,0.999667227268219,0,1,1.0,0.011014396324753761,0.05437660217285156,0.9999401867389679,0
r2,primary,test/algebra/1332.json,1,0.32421875,0.015430789440870285,0.9998810887336731,0,1,1.0,0.010886971838772297,0.05457019805908203,0.9999412000179291,0
r2,primary,test/algebra/1332.json,2,0.28125,0.012605828233063221,0.9999293684959412,0,1,1.0,0.01114189438521862,0.05215740203857422,0.9999382495880127,0
r2,primary,test/algebra/1332.json,3,0.34375,0.017299873754382133,0.999850332736969,0,1,0.95,0.011572750750929117,0.05211925506591797,0.9999344944953918,0
r2,primary,test/algebra/1332.json,4,0.408203125,0.023661257699131966,0.9997262954711914,0,1,1.0,0.011704884469509125,0.051529884338378906,0.9999326467514038,0
r2,primary,test/algebra/1332.json,5,0.3125,0.020137757062911987,0.9998018145561218,0,1,0.95,0.01216409495100379,0.05153369903564453,0.999927282333374,0
r2,primary,test/algebra/1332.json,6,0.4375,0.02535511739552021,0.9996786713600159,0,1,1.0,0.012461746577173471,0.05152702331542969,0.999922901391983,0
r2,primary,test/algebra/1332.json,7,0.125,0.009278316982090473,0.9999569058418274,0,1,1.0,0.012402604334056377,0.05151176452636719,0.9999245405197144,0
r2,primary,test/algebra/1332.json,8,0.21875,0.009279122576117516,0.999957263469696,0,1,1.0,0.011829584836959839,0.051491737365722656,0.9999317228794098,0
r2,primary,test/algebra/1332.json,9,0.25,0.011593525297939777,0.9999327063560486,0,1,1.0,0.011844648513942957,0.051369667053222656,0.9999317228794098,0
r2,primary,test/algebra/1332.json,10,0.25,0.010359317995607853,0.9999474287033081,0,1,1.0,0.01169564900919795,0.0514984130859375,0.9999330639839172,0
r2,primary,test/algebra/1332.json,11,0.1484375,0.008676102384924889,0.9999666810035706,0,1,1.0,0.011712633538991213,0.05149269104003906,0.9999325573444366,0
r2,primary,test/algebra/1332.json,12,0.25,0.015292039141058922,0.9998831152915955,0,1,1.0,0.011585971806198359,0.05135059356689453,0.9999343454837799,0
r2,primary,test/algebra/1332.json,13,0.34375,0.0134677579626441,0.99991774559021,0,1,1.0,0.011385837569832802,0.05054187774658203,0.9999375343322754,0
r2,primary,test/algebra/1332.json,14,0.234375,0.00782695785164833,0.9999700784683228,0,1,1.0,0.011364730075001717,0.050719261169433594,0.999936580657959,0
r2,primary,test/algebra/1332.json,15,0.3046875,0.011209179647266865,0.9999406337738037,0,1,1.0,0.011289626359939575,0.05077648162841797,0.9999374151229858,0
r2,primary,test/algebra/1332.json,16,0.296875,0.01868288964033127,0.9998419880867004,0,1,1.0,0.011223349254578352,0.050696372985839844,0.9999382197856903,0
r2,primary,test/algebra/1332.json,17,0.265625,0.022142304107546806,0.9997555017471313,0,1,1.0,0.010841821786016226,0.05067253112792969,0.9999441504478455,0
r2,primary,test/algebra/1332.json,18,0.1953125,0.007646629121154547,0.9999707937240601,0,1,1.0,0.010806916281580925,0.05054664611816406,0.9999458193778992,0
