problem_id,condition_label,v4_correct,first_divergence_token,post_divergence_length,repeat_onset_4gram_minus_t_div,repeat_onset_8gram_minus_t_div,repeat_onset_16gram_minus_t_div,post_div_rep16_rate,answer_commitment_token,t_commit_minus_t_div,eos_generated,length_limit,failure_type
aime26_26,INT8_R128_VALUE_HADAMARD,True,34,214355,118,128,7227,0.02963982457777363,214384,214350,True,False,
aime26_27,FP_STATE,True,0,42659,35,61,61,0.09968577056561298,42654,42654,True,False,
aime26_27,INT8_R128,True,17,35960,34,45,45,0.052663791904298235,35970,35953,True,False,
aime26_27,INT8_R128_VALUE_HADAMARD,True,17,61854,26,40,40,0.07994954640275555,61865,61848,True,False,
aime26_28,FP_STATE,True,0,125128,101,175,2123,0.014131225372263474,125114,125114,True,False,
aime26_28,INT8_R128,False,46,261439,30,669,1624,0.02138671277311953,243438,243392,False,True,termination_failure
aime26_28,INT8_R128_VALUE_HADAMARD,False,36,94726,33,319,1629,0.015922120978555818,94758,94722,True,False,oscillation
aime26_29,FP_STATE,False,0,39653,200,200,4521,0.01316918108885413,39649,39649,True,False,oscillation
aime26_29,INT8_R128,False,52,181890,68,68,68,0.004266666666666667,181938,181886,True,False,oscillation
aime26_29,INT8_R128_VALUE_HADAMARD,False,81,261358,69,69,1585,0.0023991459499584835,112525,112444,False,True,termination_failure
aime26_30,FP_STATE,False,0,55918,87,157,397,0.09122945101336243,55913,55913,True,False,oscillation
aime26_30,INT8_R128,False,167,261279,38,202,742,0.04098153591769245,,,False,True,termination_failure
aime26_30,INT8_R128_VALUE_HADAMARD,False,13,261433,43,191,1208,0.006009532625909463,,,False,True,termination_failure
