condition,phase,problem_id,token,logit_relative_l2,logit_cosine,logit_top1_match,logit_top20_overlap,logit_nonfinite,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
r0,primary,60,0,0.07914589668086973,0.9976537227630615,1.0,0.95,0,0.039295852184295654,0.16973251104354858,0.9992581009864807,0
r0,primary,60,1,0.04001015812383817,0.9992616176605225,1.0,0.9,0,0.03351477533578873,0.1690518856048584,0.9994788765907288,0
r0,primary,60,2,0.028050199755507144,0.9996108412742615,1.0,1.0,0,0.03127551358193159,0.163363516330719,0.9995591044425964,0
r0,primary,60,3,0.03250744733926465,0.9995306134223938,1.0,0.95,0,0.031667004339396954,0.16303378343582153,0.9995530843734741,0
r0,primary,60,4,0.03255467185361948,0.9994711875915527,1.0,0.9,0,0.03375706076622009,0.16282719373703003,0.9994921088218689,0
r0,primary,60,5,0.03920725605491989,0.9992512464523315,0.0,0.95,0,0.033561497926712036,0.16263794898986816,0.9994950294494629,0
r0,primary,60,6,0.252901565847891,0.9711477160453796,1.0,0.75,0,0.03365061432123184,0.16239851713180542,0.9994767010211945,0
r0,primary,60,7,0.03903308916314173,0.9992417097091675,1.0,0.95,0,0.037402234971523285,0.16277170181274414,0.9993515014648438,0
r0,primary,60,8,0.03858571672186235,0.9992624521255493,1.0,0.95,0,0.03528657369315624,0.16168904304504395,0.9994337558746338,0
r0,primary,60,9,0.04011055120121761,0.9994046688079834,1.0,0.95,0,0.03133602626621723,0.16167664527893066,0.9995613396167755,0
r0,primary,60,10,0.03137507417658826,0.9995194673538208,1.0,0.9,0,0.030540420673787594,0.14550533890724182,0.9995929598808289,0
r0,primary,60,11,0.017560875013801186,0.9998465776443481,1.0,0.95,0,0.029161195270717144,0.14190265536308289,0.9996324479579926,0
r0,primary,60,12,0.02082846963835969,0.9997843503952026,1.0,0.95,0,0.02892392221838236,0.1424655020236969,0.9996408522129059,0
r0,primary,60,13,0.03830879445629976,0.999267578125,1.0,0.95,0,0.028461060486733913,0.14366626739501953,0.9996526539325714,0
r0,primary,60,14,0.01083826833201288,0.9999417066574097,1.0,1.0,0,0.02792940102517605,0.14374184608459473,0.999664843082428,0
r0,primary,60,15,0.015450320741273005,0.9998831152915955,1.0,1.0,0,0.026963203214108944,0.14283660054206848,0.9996907413005829,0
r0,primary,60,16,0.017768486745635397,0.9998428821563721,1.0,0.9,0,0.026815188117325306,0.1436452865600586,0.9996889531612396,0
r0,primary,60,17,0.013161121072424854,0.9999151229858398,1.0,0.95,0,0.02670053020119667,0.14391478896141052,0.9996855556964874,0
r0,primary,60,18,0.030215930175787054,0.9995534420013428,1.0,0.95,0,0.026481621898710728,0.14461013674736023,0.9996882081031799,0
r0,primary,60,19,0.014184130064691857,0.999901294708252,1.0,0.95,0,0.0266351206228137,0.1448710858821869,0.9996882677078247,0
